Year,annual_mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,435.9166666667,435.6886226964,-435.8596519456,-222.0161460795,3.5251714277,-354.3142527149,215.9198947905,-95.0356548174,-309.4834577615,14.09838043,-7.0501123183,375.1428676622,-435.9024127534,253.9384779841,378.684485174,-425.4310338836,306.9907647631
1872,609.6666666667,481.5019854948,-576.7361419811,-412.7604220067,100.1914248243,-536.1254420537,244.9971161338,-79.0723713214,-465.175674582,373.9642795897,-197.6584604241,448.6895123238,-601.3776873448,290.2808206328,558.2739986159,-604.5171664544,394.0875996801
1873,488.5,136.1489658415,-390.6027520471,-398.2177119351,154.6331232708,-455.327163726,148.4973025339,-19.7055409784,-396.3398356952,469.1435911321,-293.3628130715,282.9397531299,-463.3798087827,176.9446918482,465.3824246146,-488.1023884952,285.5643266255
1874,643.75,-218.0480229444,-370.1659409843,-590.802498254,296.7488314984,-624.5182480614,130.5468388146,31.765467153,-550.2027457116,605.6972198962,-526.6794458067,255.6686733975,-571.2741841746,156.1762476767,630.3741629981,-642.9657981546,334.2020363664
1875,524,-433.2893207586,-154.1628942426,-513.65026791,311.2833463397,-520.2662088005,52.0733118553,72.6425477569,-467.8079058128,294.6801053966,-500.8091473194,103.6310874014,-421.5194874399,62.4425494381,521.4061470604,-518.9403243682,236.0757574572
1876,407.25,-407.0574136015,6.2622204847,-407.2286000119,290.1748195419,-407.2422959611,-2.0874799562,92.3651855671,-376.8462934397,-12.5229601962,-407.201850554,-4.1749050661,-285.746630083,-2.5049711209,407.2446499678,-396.6374099794,154.4002384091
1877,617.5833333333,-488.357113936,199.7598049276,-602.753883776,502.3830708753,-612.2309775321,-67.6698636361,193.3957914303,-588.0784748367,-378.0429907816,-584.3844573107,-134.5248274631,-359.19413095,-81.1320144035,613.8647759617,-586.5213052124,188.6077438623
1878,977.1666666667,-273.8386583879,586.2033288131,-888.6511444144,873.9774159696,-944.9862211216,-207.9596328949,387.9133708137,-951.0195299649,-938.0123046191,-781.8058273849,-406.3912375722,-437.0562558981,-248.7081348386,954.7813810139,-896.8711787032,224.5362956624
1879,738.0833333333,248.8938314603,603.5194262469,-592.7832499119,703.638627706,-684.6210158379,-231.5637816081,352.5182627795,-729.4213291177,-694.8516874883,-424.8897610993,-439.7442729227,-222.8445389601,-275.791717819,700.817538302,-648.458079872,112.7454281668
1880,634.4166666667,524.0226555961,606.1902396796,-419.8541495254,627.3203719663,-554.1318524953,-260.8850675263,351.7249928117,-632.6401055337,-357.6097920451,-187.1307036851,-475.6122370911,-94.6237700609,-308.9051585756,578.2936005925,-527.9905646658,47.4447448592
