Year,annual_mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,685.75,685.3912590648,-685.6603089007,-349.2584335859,5.5455239301,-557.3794657983,339.6682879431,-149.5026579034,-486.8551661095,22.1784692331,-11.0906851973,590.1454134949,-685.7275768586,399.4761489831,595.716809118,-669.2548227543,482.9338564777
1872,928.6666666667,733.4415153573,-878.5056815524,-628.7318401917,152.6152594645,-816.6459713294,373.1886088293,-120.4459412255,-708.5726787236,569.636130638,-301.0806291643,683.4603506474,-916.0405888149,442.1664113083,850.3834664538,-920.8227587436,600.2887111584
1873,693.5,193.2841510974,-554.51997655,-565.3305695537,219.5252220846,-646.4061167737,210.8144919289,-27.9750105804,-562.6646388017,666.0206355171,-416.4731031015,401.6759852519,-657.8380704009,251.1998849473,660.6810879636,-692.9355300337,405.4019662535
1874,788.5,-267.0770735405,-453.3993700444,-723.6470211624,363.4741027364,-764.9439046157,159.9008658724,38.9080712236,-673.9182368832,741.8908860399,-645.105620223,313.15689161,-699.7276803443,191.2931592902,772.1165476101,-787.5394669435,409.3488243493
1875,991.0833333333,-819.5149318991,-291.580677676,-971.5080528393,588.7552223311,-984.0213138143,98.4904417773,137.3946915511,-884.8027073524,557.3521777166,-947.2206089486,196.00580828,-797.2536997649,118.102614578,986.1773707045,-981.5135619769,446.5090622517
1876,658.0833333333,-657.7721291612,10.119245993,-658.0487526692,468.8992326422,-658.0708842244,-3.3732001666,149.2547310054,-608.9533822986,-20.2360991752,-658.0055276908,-6.7463117059,-461.7436336741,-4.0478324007,658.0746881105,-640.9342391256,249.4984003921
1877,781.1666666667,-617.7114540598,252.6714898653,-762.4092438965,635.4525578715,-774.3965974074,-85.5940226319,244.6217985249,-743.8466634894,-478.1777082158,-739.1741874013,-170.1572976169,-454.3362277055,-102.6219812466,776.4631507038,-741.8770361708,238.5655095082
1878,1117.0833333333,-313.0485430402,670.1394868445,-1015.8936202349,999.1188181026,-1080.2950958668,-237.736557987,443.4571666176,-1087.1922905662,-1072.3226115827,-893.7495408574,-464.5808067248,-499.6366288857,-284.31967828,1091.4927863287,-1025.2906490291,256.6867681523
1879,1019.1666666667,343.6797514689,833.3569586767,-818.5321380177,971.6044277798,-945.3443630685,-319.7499208612,486.7673426435,-1007.2059224467,-959.4711683395,-586.6999862533,-607.2115228458,-307.7101401696,-380.8211255421,967.7089865005,-895.4095423773,155.6821256047
1880,760,627.7533980082,726.1861271348,-502.9646451689,751.498987565,-663.8227367341,-312.5274945278,421.3492623726,-757.8717670389,-428.3989627546,-224.1733899394,-569.7600948733,-113.3546279989,-370.0532045461,692.7673239726,-632.5067581442,56.8364735473
1881,1047.75,1047.3045089742,1047.6386213236,-515.0299919487,1047.7221549609,-844.0412328322,-528.2789927849,656.6684273191,-1047.7430387171,30.5504170569,15.2768324973,-912.4276244686,7.6386192529,-620.7853572525,904.8211802794,-816.4353244822,-3.8193350022
1882,857,678.5116848951,811.151500632,-256.9790345588,845.4601812154,-621.3314643135,-507.0591520637,594.7880573644,-854.1101730168,523.51780625,276.5542316119,-817.5639276517,140.1644818746,-590.2509732767,690.89797822,-616.9896002501,-70.3193597041
1883,1300.5833333333,366.4600252366,1041.1841355159,-123.6433001088,1234.030741215,-823.2924435792,-874.8452981941,982.9110731597,-1283.8373771217,1247.8878382483,779.3924575555,-1294.6927594154,410.7129614228,-1006.8299554988,962.3734780074,-851.705834901,-208.0350836988
1884,1194.4166666667,-400.985552556,688.3630388631,136.0135031291,1060.3828223681,-634.3011342646,-891.3719674301,969.1244977405,-1160.4245106199,1125.0963337655,976.1083445696,-1186.6471676862,549.7448895969,-1012.0737348049,795.0391117996,-698.1610713084,-282.9242456274
1885,960.4166666667,-792.4326024279,284.0199773162,305.2632289877,773.0387097332,-404.0721744838,-779.6088976055,826.4244959926,-912.3703837854,542.6331580548,917.459986101,-910.6121757582,569.9222112405,-871.2782858646,560.9011859369,-489.3084160675,-299.9674255689
1886,903.0833333333,-902.7401460809,-12.4484273679,458.7098289823,634.1598929538,-274.3280658798,-784.1596483926,815.1868942119,-833.1442663007,-24.8944893148,902.9975324443,-777.9105345343,642.9624694438,-860.4089836903,447.9432472726,-388.6255710187,-348.4682747033
1887,1265.25,-1002.9647180834,-407.3428856289,855.1235191652,736.7044782197,-230.3069833508,-1158.188800482,1186.2929317525,-1125.3828023316,-771.3101430552,1197.8853601357,-932.5348945056,1028.6515806001,-1244.1126379552,509.3684962168,-439.9620922012,-578.2483123332
1888,849.5,-240.6579641929,-508.5328452608,691.7148648167,380.5598494002,-48.7729862403,-809.0927102816,819.7499165117,-722.8194249138,-814.6987138019,680.4738020607,-493.1336490158,759.4895990233,-848.098724096,258.8807373466,-222.8459655883,-446.2984752016
