Year,annual_mean_westmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1037.5,1036.9572457598,-1037.3643025658,-528.4077649951,8.3900562559,-843.2828228447,513.8984305374,-226.188855377,-736.5836454082,33.5547383584,-16.7795638238,892.8558024076,-1037.4660750868,604.3842574845,901.2850010353,-1012.5437529822,730.6509312368
1872,812.8333333333,641.9587707102,-768.9289678627,-550.309616765,133.5794365413,-714.7850685882,326.6404962778,-105.4226230001,-620.1918438864,498.5849621538,-263.5266023752,598.2117965016,-801.782116233,387.0146424893,744.3144590622,-805.9678022958,525.4142218807
1873,789.5,220.0401402904,-631.2812133904,-643.5882979995,249.9137171388,-735.8869923473,239.9971757432,-31.8475426868,-640.5533270857,758.2167148388,-474.1247511155,457.279293953,-748.9014514513,285.9730485449,752.1380229953,-788.857391437,461.5210560304
1874,914.8333333333,-309.868115972,-526.0429385275,-839.589621467,421.7098604776,-887.5030844294,185.5201548876,45.1419156513,-781.8932999898,860.756515213,-748.4643308823,363.3308345058,-811.8379280088,221.9421161158,895.8249270411,-913.718903837,474.9346220363
1875,934.3333333333,-772.5890369506,-274.8846008664,-915.8789446257,555.0427606808,-927.6756891017,92.8508226021,129.5273927244,-834.1383969423,525.4378724088,-892.9822136998,184.7824032991,-751.602495734,111.3399911418,929.7082889379,-925.3115325725,420.9416972981
1876,878.4166666667,-878.0012680117,13.5072777019,-878.3705080266,625.8917071397,-878.4000494631,-4.5025836338,199.2268101213,-812.8374829441,-27.0113614545,-878.3128108635,-9.0050489669,-616.3403371609,-5.40308995,878.4051269309,-855.5258724356,333.0331313832
1877,585.75,-463.1847461688,189.4631856478,-571.6849344302,476.4877351481,-580.6735313822,-64.1818204694,183.4272052306,-557.7659694545,-358.5567645668,-554.2623600644,-127.5907451407,-340.6794692279,-76.9500646663,582.2231156706,-556.2890641396,178.8859575777
1878,836.5833333333,-234.4419487938,501.867236735,-760.8023911628,748.2397474772,-809.0326346443,-178.0408284693,332.1049232132,-814.1979414393,-803.0620438402,-669.3287311203,-347.9244101985,-374.1777036466,-212.926911619,817.4185812722,-767.8398228723,192.2326345006
1879,788,265.7265519125,644.335519317,-632.8732540552,751.2257946922,-730.9220193929,-247.224468656,376.3591162745,-778.7521833733,-741.8445926262,-453.6251079322,-469.4842322183,-237.9155425547,-294.4435456358,748.2139146646,-692.3133796173,120.370415349
1880,735.9166666667,607.8607738827,703.1743079746,-487.0264014789,727.6850393845,-642.7871258881,-302.6239368613,407.9972956155,-733.8558744212,-414.8236008866,-217.0696498415,-551.7051971301,-109.7625789318,-358.3267378669,670.814499781,-612.4635067074,55.0354054711
1881,867.0833333333,866.7146596577,866.9911600153,-426.221829812,867.0602896976,-698.5006782485,-437.1862658019,543.437126084,-867.0775724052,25.2825172574,12.6426025718,-755.0949998087,6.3214692855,-513.7414811272,748.8001575444,-675.6549392537,-3.1607556429
1882,884.9166666667,700.61411726,837.5746582275,-265.3500941248,873.000939744,-641.5712582211,-523.5765398449,614.1632031459,-881.9327039348,540.5713326107,285.5629507474,-844.1959692467,144.7303221535,-609.4783241176,713.4038925241,-637.0879584846,-72.6100039574
1883,808.1666666667,227.7138030848,646.979159751,-76.8304430355,766.8116952844,-511.5839122081,-543.6182291207,610.7689874738,-797.7609331279,775.4223268618,484.3049947699,-804.5063356706,255.2120394617,-625.6318900768,598.0071756082,-529.2396480342,-129.2704710522
1884,959.0833333333,-321.9802361241,552.7363576554,109.2150566883,851.4578875765,-509.3261532303,-715.7468759612,778.1799933367,-931.7885782965,903.4210357431,783.7878279251,-952.8446419382,441.4298426268,-812.6670350847,638.3942745901,-560.6039049527,-227.1802932342
1885,794.4166666667,-655.4672450278,234.9294962043,252.5010292356,639.425424719,-334.2316736966,-644.860010488,683.5839236701,-754.6747825272,448.843548437,758.884689588,-753.2204660741,471.4159166816,-720.6851105551,463.9541002635,-404.7355427654,-248.1205612103
1886,705.75,-705.4818028199,-9.7283133135,358.4768424519,495.5891975109,-214.3844597154,-612.8124076993,637.0598696208,-651.0933645198,-19.4547780757,705.6829475197,-607.9287918216,502.4683172206,-672.4004505743,350.0628735953,-303.7067418066,-272.3242427298
1887,978.8333333333,-775.9219902923,-315.1320249356,661.5478400918,569.9355068938,-178.172023081,-896.0077488284,917.7499029417,-870.6280969628,-596.7074320178,926.7181347661,-721.4354785525,795.7940766468,-962.4808697505,394.0619348325,-340.3671695314,-447.3493167797
1888,708.25,-200.6427347141,-423.9769130735,576.7004744043,317.2825348295,-40.6632931192,-674.5614032454,683.4465901936,-602.633146198,-679.2352725724,567.3285112531,-411.1382070812,633.2060135471,-707.0817202366,215.8355294005,-185.7924133348,-372.0905180242
1889,837.1666666667,279.7944914236,-683.7699355465,767.7804174261,253.3955702745,57.0126427235,-819.6365659749,824.275429293,-675.64130746,-789.0266600989,483.0183257606,-333.7083433103,797.8964298348,-835.2230757992,170.4227904203,-146.3490500195,-494.3246417401
1890,784,646.1662323254,-748.7490654896,768.2669873981,117.5515475359,150.9549987034,-780.0568306605,781.1023326378,-594.4814602947,-443.9878378992,232.4453418085,-156.2748734578,775.1371708749,-769.3299606583,78.5324196746,-67.3434922452,-511.124048902
1891,852.5833333333,852.295687223,-852.5114187728,852.5513710568,-5.5368382559,267.67187097,-852.5753427267,852.5774626811,-600.9067000215,22.1450179241,-11.073442996,7.382410647,852.5653545036,-809.4752063956,-3.6912399186,3.1639225526,-604.8218565388
1892,872.5,692.477701076,-826.2696424863,851.8510823109,-142.0140608016,375.5387889174,-867.3224081379,868.6950555241,-564.5126136547,530.7832735802,-280.2404822748,188.6954783923,860.864830583,-787.5448355608,-94.9109600724,81.3950275384,-665.2681857903
1893,848.8333333333,241.7653107839,-680.3442078885,772.5039967105,-267.4127764167,458.4539745913,-829.5315456084,834.6380984674,-496.7540384315,813.6753420617,-507.5921458911,351.7891454323,805.6105974892,-714.3794376654,-179.9873401612,154.5874262817,-688.2975033223
1894,914.9166666667,-304.4060435211,-528.4724894888,735.6721575116,-420.4546458516,586.710302241,-868.95086888,881.0700212575,-475.6004330725,862.7916710379,-746.8529539327,543.9292082677,812.5825482536,-702.0281534161,-286.3509986315,246.5524783609,-781.5860381339
1895,618.3333333333,-509.0668094811,-183.7976250054,409.9480334576,-366.5296120252,452.8313251451,-563.8353683179,578.1348963594,-279.0149049264,350.9801911729,-590.3850812423,462.9024961861,497.9881069059,-421.0461994584,-253.8223562748,219.3083507816,-551.8032203059
1896,690.75,-690.5446524199,8.4215153308,340.5013602329,-491.4024441406,560.8019015728,-596.7984907324,621.296457656,-262.3921913947,-16.8417788323,-690.6986611971,600.9944976283,485.4474228922,-403.2825184561,-347.8032834226,301.8712874787,-638.9725349302
1897,735.4166666667,-584.390468608,235.6556631567,221.6382824953,-597.5545062549,646.1483162358,-593.2259942592,630.0170395908,-225.1512052705,-446.4587929599,-696.6376978267,701.2233205932,428.6797005524,-351.1837511002,-434.6499664631,379.3628914858,-700.1032840777
1898,767.1666666667,-219.6758988661,458.2666621981,74.1488764136,-685.6061559407,714.6267820727,-568.0797658779,619.1175423478,-176.8763765251,-735.0423075592,-615.2530867556,763.574906981,344.222157016,-279.0219647069,-515.5871158636,453.0321878208,-746.4981191348
1899,465.75,154.2620657566,379.980670315,-52.2999901176,-443.7899614115,451.6553895353,-310.2936851619,349.7154481092,-71.5118450769,-439.4613493454,-269.3283362124,462.8042496928,141.3277490459,-113.7122315485,-347.3339768129,307.6071648285,-460.2272466007
1900,818.6666666667,673.2580161111,781.4694514079,-258.9721924216,-809.313938468,812.6768070911,-478.6455941415,563.7933136222,-61.8739315814,-465.7668460221,-243.968456214,776.6263674789,123.3939225108,-98.850990523,-664.1637646847,593.5926301986,-816.3251360223
1901,572.75,572.601246464,572.7128104086,-290.1350384142,-572.7407025267,572.7440496113,-284.4887688893,355.6438998175,1.6317364738,13.0527793177,6.5268134555,493.826105005,-3.2634597036,2.6107728486,-497.1002945844,448.9543173003,-572.747675627
1902,719.9166666667,572.7689121812,682.1385097516,-485.7124436434,-710.4093499842,713.8271483627,-290.3511008746,394.6689690342,58.4998963035,436.1373409641,230.1457374325,531.3787999483,-116.612874073,93.438799248,-658.7687342045,602.093358065,-717.5359008976
1903,755.4166666667,217.4637841057,606.1889586539,-614.4072719145,-717.1400082251,730.8442715815,-230.7821992186,355.8611261917,120.2389823041,723.4389005854,450.7652234634,439.4974908875,-237.4121919377,191.1046597401,-719.300991798,666.3461556454,-745.7861137165
1904,578.25,-190.6542217516,334.7590616937,-529.9555653043,-513.7837531123,536.7084897346,-118.1656821222,225.6069651743,136.5240038652,545.9157721007,471.4970128367,231.3442484762,-265.3286971622,215.2139854815,-566.0476429318,532.4232900286,-561.9023570591
1905,589.5833333333,-484.3288022163,176.1481156646,-577.5638960307,-475.1118290142,515.4286921684,-59.5250363698,180.4667755419,183.698790263,336.2054703424,562.6547327555,118.4417702765,-349.1092334431,286.2547296273,-586.5707774767,561.2844643048,-560.2350055114
1906,817.4166666667,-817.2330013075,-8.6640384845,-817.3962587252,-574.9295076297,659.2609614098,2.8880608978,179.478069368,314.8118845037,-17.3271035803,817.3707490372,-5.7760857432,-581.0559940326,483.2649291078,-817.4115646654,797.4695163832,-754.3629658989
1907,545.0833333333,-434.196108624,-173.8430011083,-532.3702584377,-318.0856156422,395.7869426668,58.8629137955,71.556767121,248.729443993,-329.5293303085,516.6182838842,-117.0373795361,-442.6481462734,374.7913236619,-541.8957442694,540.3660512624,-485.0252611655
1908,687.5833333333,-198.9848982415,-409.8488383916,-626.2070731225,-309.0029205474,436.0997032186,145.2606167949,28.830493986,360.7669484293,-658.1609609735,552.0822130324,-283.9639798444,-614.2377677829,531.5899633462,-672.0641289982,686.9786335064,-585.3358430839
1909,696.3333333333,228.5400628251,-567.4593266738,-560.5708602478,-211.8245342698,370.7306525733,217.41197693,-33.2524510627,410.7186549703,-657.7610134349,403.5715843341,-413.0864579627,-663.3328559573,589.4394747162,-661.5225947755,695.5389173938,-562.3080095201
1910,829.0833333333,680.3185673682,-791.0183181106,-550.6607335364,-125.6166185347,350.0142849918,339.7319068876,-113.6286615616,540.015059417,-473.8626599609,248.3328291315,-619.7999113845,-819.5118295418,751.5777896617,-756.2813002141,821.2598254406,-629.0968997014
1911,567.5833333333,567.4742450054,-567.5560605961,-280.5731869353,2.7820452093,173.2748384454,285.3963696275,-127.8485642145,402.3244230538,11.1275124477,-5.5640235787,-493.385779133,-567.576515108,540.4874380034,-490.6116106262,552.996912203,-400.3572141128
1912,675,538.3328403503,-639.9217402294,-204.4548368034,108.8067675863,123.9237212757,398.5084598586,-210.3545422216,514.3294508974,407.2133998291,-214.7677033024,-643.2909292907,-666.1727158383,663.5268730844,-544.8082299499,641.3859731603,-437.1386690052
1913,661.75,192.5173922656,-531.6537627215,-65.0089733612,207.4743177107,39.0457048154,444.3497352189,-261.7323222495,536.2877922557,633.1272511709,-394.0270791254,-658.5490838825,-628.384810439,660.5970749522,-490.3737098488,607.7904688212,-387.6963584785
1914,741.3333333333,-242.193693663,-430.1330334185,82.0724637979,339.6344768057,-49.3082007904,552.4573125017,-353.0327400307,632.9918917002,700.6549263803,-603.788609261,-736.7762359069,-658.9563970977,739.6917009443,-494.3339245636,651.8765186579,-385.8709319875
1915,639.3333333333,-524.0333079136,-191.9832669596,201.2767378244,378.157248444,-122.1008680683,518.3772944617,-353.6029546662,570.3137931363,366.2460966457,-609.8274643853,-606.8235212332,-515.5038375806,627.5655257645,-374.208620555,532.6462818441,-288.9451305518
1916,965.75,-965.5933149254,8.6982357626,487.8882615455,685.9567711189,-301.7402686357,837.8099877322,-604.0763221024,893.0665748442,-17.3957659019,-965.7108279369,-833.4495226144,-679.806127257,917.4016965232,-480.361829204,753.5017316339,-367.5665319312
1917,1071.8333333333,-855.8481303814,340.220619621,721.8822075102,869.909907761,-459.7938066811,980.449924064,-742.6600003253,1020.1041933498,-645.2524096561,-1016.4037703733,-792.2832655841,-626.1656704289,968.2026388014,-433.0642456349,772.8407457951,-328.9591603142
1918,413.8333333333,-121.0235024957,246.1447423045,336.2015010166,369.5408820199,-222.9559632516,393.9475952555,-312.3210072295,402.607974826,-395.7415060635,-332.672201444,-241.3018410455,-186.272822209,348.6383028703,-126.7411534199,271.5025160489,-95.7332041889
1919,1036.25,336.9827499078,843.5082800696,949.0427161431,986.8889293437,-663.2507460807,1014.2138771244,-839.8256483205,1023.8353665342,-979.9268792949,-601.9201308762,-416.0913186258,-316.0131383961,796.1862284186,-212.5659284748,607.0477270553,-159.9224960217
1920,593.5,485.9236447086,565.9672840079,581.2100891196,586.5764370731,-434.0006379251,590.4195279174,-510.2158465876,591.7665778848,-340.7645250214,-178.6708802035,-120.1544102627,-90.3898969501,404.8279835691,-60.3906536954,303.1864770911,-45.327335004
1921,673.5833333333,673.4925195187,673.560629497,673.5732427079,673.5776573503,-546.237712481,673.5808106722,-607.5615365311,673.5819143361,11.0604293222,5.5304010691,3.6869570597,2.7652238358,394.1305220456,1.8434854339,290.8324023769,1.3826148306
1922,764.6666666667,611.3110185977,725.3151970002,747.0927536429,754.7646868674,-671.2654012984,760.2604937553,-716.5237732647,762.1871516681,459.3625470717,242.1424706897,162.9954863346,122.6596044717,366.2210700259,81.9700722587,267.0370638275,61.529317754
1923,845.3333333333,248.5006848774,679.9464525709,770.4307573455,802.9227377788,-786.9494938624,826.3955604472,-815.3749593885,834.6633449421,807.9825827701,502.2561757517,347.8863213472,264.3927412057,308.7052616236,177.929261555,223.0518326457,133.8863139174
1924,843.5,-273.0307865838,490.5052402965,679.8408746835,750.0778026945,-817.6448235635,801.5416482615,-830.2753379591,819.8118310237,798.0892428654,686.2192501247,499.3081564621,385.8439320567,207.2418695626,262.722736173,148.7787389948,198.4963770793
1925,596.5,-487.8337897312,180.0269346867,396.8931933339,481.2475020925,-592.0201837775,544.3156436406,-594.2129757674,566.955194437,343.2643931382,568.6849327944,445.2954559449,352.4387772787,72.9681574393,243.993299269,52.1841875446,185.4024204289
1926,773,-772.9150177457,-5.7311116978,383.1864029636,544.5635181765,-772.99660065,668.4803996719,-772.9982656371,713.6093467544,-11.4619083571,772.9787541445,671.3398398604,548.6160539678,-2.2924623215,388.1532625839,-1.6374742624,297.1375106323
1927,720.75,-576.8907962856,-227.6911516475,219.4060345815,421.5282700781,-714.8015142876,582.0727883713,-717.7130096437,641.5984192463,-432.0619997882,683.840114326,686.5431920056,584.631918411,-92.4086450077,425.0550923559,-66.0953726686,328.3778782449
1928,743.6666666667,-219.7457632225,-441.3742810027,74.2348812143,335.2646497958,-719.7751954524,551.4735341674,-731.4449312549,633.3897913907,-710.4589436814,598.5222261374,739.9522238106,663.8054878565,-186.9860399136,498.9158769012,-134.2699655646,389.6889570839
1929,594.25,191.455839195,-483.1695845879,-64.8482774453,181.6721454415,-551.9105946483,396.6087326498,-572.5204937527,480.1519212336,-562.5635289797,345.9482837494,590.7010778832,565.798810595,-220.2901677673,442.5320052674,-159.2273429193,350.1245421785
1930,735.9166666667,601.1772585171,-701.4234471564,-230.5706224922,112.6590766974,-643.925243774,431.2148979002,-688.4888550757,558.7848568415,-424.4516982175,222.6622735379,698.8637408833,727.2422379892,-356.2774490597,596.3447426672,-259.9162109495,478.8870681512
1931,966.5,966.4153435031,-966.478835644,-486.9381089145,-3.1980736414,-780.4083600776,481.402413649,-869.9919434421,682.2870773456,12.791944411,-6.3961122671,834.8733605085,966.4947088965,-570.1622940191,838.0775418378,-420.9943804207,684.5484599992
1932,824.5,660.7189971407,-782.4842053174,-554.3312808586,-131.6093133402,-599.5745140681,333.7320099512,-707.0094701109,534.4569071267,493.204477694,-259.8436422712,610.3417739772,813.9282761043,-565.9599385822,753.9384560652,-424.1908287239,627.818496402
1933,1036.5833333333,307.8763997065,-834.7588129534,-841.164867926,-323.4253654893,-658.728476826,318.2510991865,-837.5155732213,607.9669660027,989.8066121461,-614.5589728748,605.7612334174,984.8355395204,-800.3635428747,986.5197640245,-610.796751429,839.5720190632
1934,990.75,-317.7062707167,-577.415827107,-906.7370994734,-452.4990783381,-528.8142896864,204.0046337669,-744.96086001,516.3681344915,938.4286270395,-805.0941094719,399.2660703573,881.3796835661,-837.8191985885,969.5192993962,-653.160684329,845.5468716646
1935,741.5,-605.0564348616,-224.9143209648,-725.9053713406,-437.6347112631,-314.109366437,76.0375471428,-511.5063717405,335.6457296008,428.636163468,-706.5662022946,151.2734010292,598.5800777655,-671.682630352,737.5910394145,-536.827236333,661.1839337134
1936,769.25,-769.1978604918,4.4781869464,-769.2442066631,-545.5228720267,-236.0070668025,-1.4927364768,-478.6185221488,293.3445867861,-8.9562221265,-769.2369650125,-2.9854673326,542.356302255,-732.1517786083,769.2485516644,-602.2207840619,711.1220119665
1937,866.4166666667,-695.133776156,272.3989271761,-846.797353963,-702.3847986557,-160.4222855571,-92.1913757219,-476.1358974187,266.5707638782,-517.1719960757,-822.4820148497,-183.3359800995,507.2804302308,-851.4355704189,861.4978760974,-723.8594113964,824.3893910788
1938,859.4166666667,-256.5626566504,508.970914579,-783.8285061718,-766.8165014468,-52.0750748668,-180.2244779879,-406.0602200929,199.4769727638,-820.2271698481,-692.4923212983,-352.4342206101,388.0585781211,-857.8375099762,840.3071726925,-757.4378552743,835.9461371892
1939,716.1666666667,228.574288154,581.6321777883,-577.8876928692,-681.7038478831,46.4961542428,-222.5205515617,-280.4656600739,111.0880777856,-678.7109025494,-417.8500977692,-423.0136036522,219.4870343002,-714.655722768,680.7196916332,-658.9641173568,707.498504181
1940,914.8333333333,745.6514701471,871.5121478549,-609.7895445915,-903.9381591238,173.2858685854,-373.5399751481,-281.4099402803,70.5948600796,-530.0225588079,-278.1844782138,-681.9653503548,140.7687190309,-898.2716936018,835.097548041,-870.476003856,912.105472798
1941,643.75,643.7174874597,643.7418718136,-320.0054836536,-643.7479679502,200.159944967,-322.8084047837,-142.3465989719,-0.8087434884,6.4698406877,3.2349611895,-558.57904806,-1.6174857005,-611.8415308973,556.9639093344,-627.8148678242,643.7494919873
1942,1008.4166666667,810.0192799722,957.5335805747,-308.5050980804,-995.6146330674,431.1380754052,-594.054917897,-133.9736507731,-80.3423426618,600.6437710361,316.2809126124,-960.0670695684,-160.1738931077,-911.6052509431,814.8637482018,-999.4774807417,1005.2110632035
1943,811.9166666667,243.6162548958,654.6009361557,-82.3343265199,-771.5860560209,436.3365482513,-544.2242468279,-35.3357342667,-127.9552557737,774.5061613452,480.3189440311,-807.7312252771,-252.7125477006,-684.7036514225,602.5185829298,-811.1473722419,801.7706193988
1944,1155.0833333333,-366.9165847651,674.6844726087,124.2210990345,-1027.9918035941,737.8954977117,-859.5647817609,53.3218152182,-270.9255504835,1095.2578357486,937.5597950878,-1148.3843544298,-526.7355680867,-888.6662711059,771.5995677167,-1153.8519363273,1122.8610123429
1945,866.0833333333,-705.1168457964,264.0174161688,270.0429780324,-699.5575116212,632.3872532581,-701.4200107052,117.3331316133,-268.5379291222,502.9021515681,824.8606817137,-822.9077289059,-510.6071172752,-591.7657494266,508.0455775421,-858.098640311,823.4000977049
1946,1054.5833333333,-1054.5456144894,-4.4596896841,529.8643784674,-744.1246174303,854.2231565924,-914.0383332779,235.9089506492,-404.6014010599,-8.9192996139,1054.5739035802,-911.8057618681,-747.2781012973,-618.4244543076,526.0037378601,-1027.8584406172,973.880748965
1947,915,-735.8486132812,-286.2896425368,614.0970787342,-536.316127428,802.537110954,-836.3981788125,283.7621995962,-416.2305511392,-543.8306890313,869.0588245776,-678.313922819,-741.3433829614,-439.4987890103,371.0297649504,-869.8873571218,814.8479172817
1948,1085.75,-327.4293015465,-641.6177593965,880.0509052286,-491.0277895574,1010.1287568236,-1033.0460621028,427.8420903217,-568.207550103,-1035.2019682114,875.8879570625,-635.8957986229,-968.3722282172,-398.1117395128,334.1689633614,-997.8998989123,925.1990285911
1949,760.5833333333,240.4532571385,-616.997466271,695.5988915953,-233.6760764283,736.9711857845,-744.1599057249,361.1342132776,-447.6365030995,-721.5741390016,444.7483935436,-307.6185770655,-723.7972770393,-188.0438200732,157.2038220144,-669.3796284208,614.9053325815
1950,733.5,596.4957813776,-698.4095881503,717.8343834747,-113.4434156128,727.8474633019,-729.5730841659,404.710941239,-476.8707920643,-426.8665280843,224.1568584268,-150.7847734405,-724.6743002578,-90.8863035059,75.798185075,-611.7444761021,557.3297925609
1951,529.8333333333,529.8208479664,-529.8302119824,529.8319460655,0.9093392552,529.8328339167,-529.8329865162,330.7517784605,-374.9701050482,3.6373302353,-1.8186758318,1.2124518773,-529.832552995,0.7274715327,-0.6062263355,-413.9162018529,374.3271048578
1952,723.5833333333,582.5943572968,-687.4330539448,707.4413247491,114.3628865954,717.7583069154,-719.5365147709,500.5303207588,-550.6014524908,429.1347750109,-225.8509168055,151.9855661401,-714.48860764,91.6288880852,-76.4201818175,-522.5344374095,469.479372063
1953,680.9166666667,206.3775500746,-549.6241535887,621.4720282564,211.4228705266,659.3129782976,-665.8896938876,513.1773051339,-551.1845712647,648.8881365611,-401.9462610057,278.2445417962,-647.2618301451,170.1584661217,-142.2618097691,-447.5450373314,399.8037960603
1954,895.8333333333,-281.8576916268,-524.4138850638,723.7057532402,407.8786108685,832.5344215222,-851.7150633835,725.1886605342,-764.1690312623,850.3373464584,-726.2970730103,527.9842268838,-797.5916247724,330.7624496398,-277.6667281413,-525.9455939007,467.5072756339
1955,940,-763.5531890379,-287.9756954192,627.6798079768,553.5805480262,823.2213913003,-858.3760887566,807.3266873594,-837.8441726075,548.257719973,-894.8016533555,699.7271315722,-759.702953033,453.7692595423,-383.1324708908,-481.4806536895,426.1656279285
1956,895,-894.9875601146,2.359417027,446.1370979616,633.6942000047,723.5150746488,-774.6992005532,806.6593976873,-827.0977297164,-4.7188176569,-894.9968900233,775.8780122045,-632.0258387759,526.8310324534,-448.1809329525,-387.7184753436,341.9566427164
1957,730.0833333333,-588.5167002232,227.3273404034,224.4612656086,591.1808420655,531.7124142022,-590.2953085578,683.7108528638,-694.4900839425,-432.0529680137,-693.7895602531,694.7221126843,-428.4003800019,500.3034900881,-429.6197415223,-256.0491032738,225.1781448466
1958,923.6666666667,-281.3536486822,544.6481085427,95.1299772882,823.4784192786,588.1072406619,-685.9404129125,890.5428885572,-898.2704708823,-879.7728317494,-746.0017084243,918.7548087125,-418.3818878651,712.2429252665,-618.5837542683,-245.1397045591,215.1052585412
1959,991.0833333333,310.3276909126,803.0587699373,-105.0146183852,942.9062350475,530.3263400716,-662.6341130568,975.2651640076,-978.9649707887,-941.2453972604,-580.8121775909,985.5039845361,-305.2441736046,837.2575151274,-736.9953906399,-176.3633564105,154.5113574456
1960,745.75,605.0722248789,709.7096850838,-231.3944894508,736.6848241111,316.9852116493,-437.938706894,742.7858917227,-743.4802519505,-435.9250683088,-229.0310577155,708.942630085,-115.9246842755,675.028472063,-603.61639433,-66.4242542877,58.1392935937
1961,1183.5833333333,1183.5753199653,1183.5813299896,-593.0484999371,1183.5828324973,364.9188301135,-591.1629160225,1183.583169795,-1183.5832081243,4.3553316003,2.1776694861,1024.2865730188,1.0888352038,1125.9235117773,-1025.375986487,0.6221916041,-0.5444176595
1962,739.8333333333,597.0726723379,703.2380914488,-495.6608270935,730.6272450554,138.1423660595,-300.538649095,736.8230522241,-737.5282202209,436.8725043515,229.8032807567,549.2483095978,116.3494301395,726.8218817637,-676.0398520141,66.671964289,-58.3565376697
1963,768.5,235.2545716964,621.0416203238,-622.1873873853,730.7060747041,47.7877603768,-237.1088808906,756.0901707538,-758.992710245,731.6061348129,452.6583212818,451.082148814,238.0354645648,767.0127638822,-731.00726987,137.5496408194,-120.5085714585
1964,767.3333333333,-239.1062180049,450.1812263756,-701.2770021313,683.4615956596,-48.5985004993,-159.1967725944,739.6013340337,-746.0708105962,729.1286998574,621.399475268,311.4659062018,348.8275959594,765.7928115317,-750.6376169897,204.4267867477,-179.3844754175
1965,556.5833333333,-451.0710902032,171.3568732045,-544.5132719137,450.0885394131,-104.5563524349,-57.9568590353,521.0254835476,-529.290462084,326.0672914098,529.5487030954,115.2835792916,327.4222253198,546.6744699635,-553.5575936027,195.7484417267,-172.1528788355
1966,542.0833333333,-542.0821526355,-0.5657015877,-542.0832021446,383.1107430466,-167.7281534785,0.1885672263,488.330057215,-500.7655583725,-1.1314025594,542.0830381588,-0.3771344299,383.5107545298,515.4819170528,-542.0833005361,235.3467558692,-207.5769636198
1967,837.5833333333,-676.7473717415,-259.5318100252,-819.1773217363,492.0194720388,-356.8936903545,87.7968352129,718.9138381018,-746.2081310643,-493.516803279,796.3598934293,-174.6263320083,677.8367645771,757.7418650588,-832.9691206787,429.7775397382,-380.4198541234
1968,720.9166666667,-221.7810472178,-424.1669405952,-658.4483370819,327.056435003,-386.462980289,150.0574222365,583.1460420588,-614.6142185193,-685.9548143812,582.9264505784,-293.5415263159,642.4600599266,608.5780189458,-705.1266626001,423.8649949088,-376.7893346046
1969,899,278.7735724021,-727.6051269712,-727.1069159126,277.5643987014,-573.2009146925,277.9675184213,676.9156254812,-727.2315293057,-854.6849099698,528.0073666202,-528.6932313091,855.0783616567,692.56170223,-854.9474011322,591.596345475,-528.5218091846
1970,897,726.1166615445,-853.2103039127,-600.0294793884,140.1416379781,-653.9846948603,364.9538032331,619.8078895748,-682.0249442896,-526.6532007189,276.8414298787,-666.7635441931,885.984944175,613.9324220861,-819.4008307939,648.4189849324,-582.6242145387
