Year,annual_mean_westrajasthan,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,277.3333333333,277.1882501115,-277.2970601557,-141.2482764581,2.2427395357,-225.4172879058,137.3697973356,-60.4623703369,-196.8956122023,8.9694915066,-4.4853324021,238.6686032459,-277.3242648906,161.5574946914,240.9218058992,-270.6622979859,195.3097429041
1872,255.0833333333,201.4594829961,-241.3052666216,-172.6981481359,41.9198949408,-224.3138297056,102.5063111653,-33.0837245236,-194.6285866451,156.4659185106,-82.6999107925,187.7308088058,-251.6152407001,121.4529239963,233.5807421765,-252.9287925802,164.885476028
1873,288.4166666667,80.3840960043,-230.6168756116,-235.1128456171,91.2973796725,-268.8309985766,87.6747123968,-11.634404184,-234.004123395,276.9883945596,-173.2051682089,167.0512599083,-273.5853835205,104.470415982,274.767753598,-288.1819117336,168.6008417692
1874,211,-71.4689442195,-121.3281763847,-193.6455567093,97.2644713727,-204.696466549,42.7889444503,10.4116715639,-180.3382980119,198.5275547932,-172.6281368003,83.7997515913,-187.244819978,51.189418656,206.6158421632,-210.7429645213,109.540395609
1875,281.3333333333,-232.6311620358,-82.7693910564,-275.776606944,167.1266821315,-279.3286769896,27.9579358816,39.0014696608,-251.1640410344,158.2124738898,-268.8822648457,55.6390825488,-226.3119894397,33.5251346856,279.9407049103,-278.6168153732,126.7480529859
1876,255.75,-255.6290571604,3.9326283339,-255.7365609651,182.2276491046,-255.7451619203,-1.3109220351,58.0046561296,-236.6566962485,-7.864326753,-255.7197625026,-2.6218096271,-179.4467787446,-1.5731034111,255.7466402192,-249.0853716445,96.9622123342
1877,144,-113.8687212092,46.5773772655,-140.5422630097,117.1391103053,-142.752007715,-15.778373278,45.0934998774,-137.120443195,-88.1471175375,-136.259120528,-31.3667388822,-83.7521870573,-18.9173014289,143.132955453,-136.757362759,43.9770856017
1878,293.3333333333,-82.2029743753,175.9709805067,-266.7620696178,262.3571980396,-283.6731620627,-62.4269066851,116.4467904882,-285.4842866686,-281.5796786849,-234.6884284832,-121.9936172825,-131.1988760669,-74.6591023906,286.6135477715,-269.2296221247,67.4030155834
1879,299.6666666667,101.0525254523,245.0328391988,-240.673881301,285.6818906211,-277.9606156659,-94.0164117267,143.1247231518,-296.1498362321,-282.1143353515,-172.5080253939,-178.5390544688,-90.4763421137,-111.9732434546,284.5365098492,-263.2782268511,45.7753821484
1880,221.25,182.7505780386,211.4061587218,-146.4222733469,218.7751986826,-193.2510269769,-90.9825107425,122.6625319736,-220.6304321807,-124.7148296177,-65.2610033212,-165.8676591983,-32.999620322,-107.7293046129,201.6773295118,-184.134368736,16.5461444373
1881,290.1666666667,290.0432911993,290.1358211604,-142.6337733211,290.1589551876,-233.7510198618,-146.3029867874,181.8594976478,-290.1647387905,8.4607136079,4.2308065502,-252.6901287203,2.1154594956,-171.9219449577,250.5835798722,-226.1057663125,-1.0577367754
1882,281.3333333333,222.7397363094,266.2823284844,-84.3602898357,277.5450769917,-203.9687887517,-166.4558243258,195.2552004728,-280.3846697885,171.8588208771,90.7863755272,-268.3873803726,46.0127665119,-193.7657804144,226.8058707186,-202.5434549245,-23.084223878
1883,197.5,55.648764004,158.1089511868,-18.7758455346,187.3936603242,-125.0210220595,-132.8495775434,149.2598989805,-194.9570438764,189.4979289196,118.3545924525,-196.6054872695,62.3687908357,-152.8920993485,146.1411637648,-129.3357358054,-31.5911545054
1884,317.6666666667,-106.6459866283,183.0768090523,36.1741068812,282.0190692017,-168.6985225575,-237.0689974076,257.7480349813,-308.6261239436,299.2302535627,259.6054566036,-315.6002932547,146.2099713349,-269.1708000472,211.4483425787,-185.6826905622,-75.2464399869
