Year,annual_mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,903.5833333333,903.110635805,-903.4651512226,-460.2028430395,7.3070987938,-734.4349918157,447.5663198648,-196.9932336428,-641.5081499727,29.2236167085,-14.6137197222,777.6092743377,-903.5537873226,526.3725705947,784.9504631506,-881.8483464727,636.3412086266
1872,756.9166666667,597.7969565677,-716.0325830528,-512.4525578303,124.390201159,-665.6133666175,304.1701484203,-98.17035931,-577.5274264938,464.286160677,-245.3980038316,557.0594369105,-746.6256881018,360.3910188365,693.1113626884,-750.5234312337,489.2697741791
1873,774.1666666667,215.7666142387,-619.0207380617,-631.0887997061,245.0599991788,-721.5949080543,235.336052634,-31.2290132531,-628.112772707,743.4909521694,-464.91650178,448.3982099244,-734.3566058669,280.4190015814,737.5303180944,-773.536538574,452.5575903022
1874,926.75,-313.9044741961,-532.8952012538,-850.5261596224,427.2030750931,-899.0637458499,187.9367500916,45.7299365966,-792.0782828555,871.9687744293,-758.2138662545,368.0636008872,-822.4129711593,224.8331456845,907.493989217,-925.621053887,481.121145169
1875,735.5,-608.1761362938,-216.3870395332,-720.9728474195,436.9253840322,-730.2591537649,73.0914520412,101.9629654108,-656.6273181781,413.6206441206,-702.9487172775,145.4592839384,-591.655692771,87.6459830376,731.8592006927,-728.3981079634,331.362060324
1876,594.6666666667,-594.3854519051,9.1440976834,-594.6354183928,423.7134258751,-594.655417225,-3.0481393426,134.8716931056,-550.2711581718,-18.286033141,-594.59635882,-6.0961985986,-417.2473812712,-3.6577601635,594.6588545469,-579.1701570724,225.4553102695
1877,411.5,-325.3956859555,133.1013246164,-401.619036309,334.7412770183,-407.9336887132,-45.0888930826,128.8609388858,-391.8407109356,-251.8926310187,-389.3793617866,-89.6348128475,-239.3335067644,-54.0588162359,409.022299784,-390.8031581621,125.6706300354
1878,675.6666666667,-189.347078476,405.3331562354,-614.4621762674,604.31595503,-653.4153403423,-143.7947043759,268.2245958176,-657.5871012243,-648.5931916981,-540.5834596995,-281.0012070813,-302.2046838497,-171.9704551656,660.1882515146,-620.1459591443,155.2567188496
1879,991.8333333333,334.4625022062,811.0069110523,-796.5796816587,945.5466802481,-919.9908920066,-311.1744528283,473.7125848032,-980.1933678626,-933.738826294,-570.9651051828,-590.9265367874,-299.4575705886,-370.6077707442,941.7557119647,-871.3952880927,151.5068404699
1880,568.6666666667,469.7137267552,543.3655846018,-376.3410897624,562.3058213974,-496.7024512581,-233.8473270458,315.2727375473,-567.0742256879,-320.5476449383,-167.7367558055,-426.3204920412,-84.8171032307,-276.8906872612,518.3601117094,-473.2704076289,42.527642049
1881,768,767.673455397,767.9183595099,-377.5166154298,767.9795896063,-618.6816194847,-387.2281235589,481.3374871687,-767.9948973846,22.3934338341,11.1979072851,-668.8087956019,5.5991024445,-455.0352224957,663.233277456,-598.446508425,-2.7995698227
1882,750.0833333333,593.8626678083,709.9547507962,-224.9191258327,739.9831866122,-543.8160745124,-443.8000221436,520.584140834,-747.5540322174,458.2053455908,242.0521819077,-715.5671832743,122.6779950752,-516.6130893099,604.7036855268,-540.0158879668,-61.5465341012
1883,487.4166666667,137.3373926834,390.2022175071,-46.3375192117,462.4749026313,-308.5434422051,-327.8637886293,368.3633540662,-481.14082263,467.6680954645,292.0911439894,-485.2090696368,153.9219652311,-377.3273793627,360.6665261015,-319.1918644414,-77.9648365832
1884,887,-297.7806615088,511.1934825688,101.0066090355,787.463529009,-471.0459270991,-661.9523631707,719.6930966266,-861.7566797626,835.521201186,724.8794543779,-881.2301997385,408.2526062143,-751.5881415798,590.4134728245,-518.4697162496,-210.1057469098
1885,911.6666666667,-752.2093423481,269.6033450619,289.7683058677,733.7998685016,-383.5617864514,-740.0365587683,784.4758339401,-866.0591755846,515.0895227001,870.8904336612,-864.3902128239,540.9934048565,-827.052880465,532.4302797527,-464.4715029743,-284.7413132949
1886,814.75,-814.4403809387,-11.2308087456,413.8420225118,572.1307809734,-247.4952016339,-707.4586031499,735.4509794878,-751.6518862805,-22.4594834392,814.6725915574,-701.8207341646,580.0723506277,-776.2497585624,404.1285529745,-350.6129194288,-314.3835306611
1887,810.5833333333,-642.5500765855,-260.9645161373,547.8355049015,471.9702601359,-147.5463364983,-741.9944979443,759.9994300966,-720.9773113534,-494.1404044983,767.4261277771,-597.4291588524,659.0063837513,-797.0416669558,326.3272978134,-281.8620345676,-370.4552021383
1888,879.8333333333,-249.2512052137,-526.6911693411,716.4141203389,394.1486060395,-50.5145368575,-837.9832092558,849.0209553199,-748.629339635,-843.7893879067,704.7716698211,-510.7421097026,786.6089058748,-878.3820216799,268.1246640087,-230.8031886091,-462.2345792798
1889,723,241.6381651992,-590.522393072,663.0761399152,218.8393358253,49.2376755195,-707.8605262192,711.8667752883,-583.5022878283,-681.4249754149,417.1478194603,-288.1996403106,689.0851508308,-721.3214618389,147.1817767954,-126.3910370266,-426.912262765
1890,813.25,670.2738372941,-776.6838998845,796.9300095682,121.9372398387,156.5869294586,-809.1597162431,810.2442245124,-616.6607749804,-460.5524351678,241.1175691655,-162.1052816831,804.056510477,-798.0326409507,81.462360077,-69.8559886077,-530.1934091448
1891,897.6666666667,897.3638102596,-897.5909493716,897.6330142727,-5.8296179936,281.825959739,-897.6582535288,897.6604855832,-632.6817488644,23.3160133983,-11.6589901234,7.7727814963,897.6477371433,-852.2790463585,-3.8864271727,3.3312260519,-636.8039330111
1892,752,596.8403796093,-712.1544655011,734.2028812582,-122.400657562,323.6735464365,-747.5374795641,748.7205521537,-486.5484074136,457.477388805,-241.5367824305,162.6349567347,741.9717508291,-678.7778983859,-81.8029134377,70.1536512422,-573.3887400737
1893,885.5,252.2087367357,-709.7327265878,805.8734998082,-278.9640842533,478.2576020034,-865.364441747,870.6915800427,-518.2120962472,848.8233050018,-529.5183724955,366.985220829,840.4101913332,-745.2381606748,-187.7621712697,161.2650688857,-718.0295769
1894,1027.25,-341.7809726281,-593.3582637698,825.9978764591,-472.0780052293,658.7465065785,-975.6405283435,989.2476684616,-533.9945840682,968.7251050992,-838.5514494151,610.7127561997,912.351313628,-788.2230665051,-321.5091319911,276.8241552741,-877.5490565694
1895,827.0833333333,-680.9283132211,-245.8479013718,548.3469315454,-490.2704042251,605.707668742,-754.1867965708,773.3138606964,-373.2106376542,469.4714821282,-789.6997212035,619.1788779848,666.1094287117,-563.1918503538,-339.5130574161,293.3470864565,-738.0925824173
1896,496.3333333333,-496.1857823396,6.0512179165,244.6647486485,-353.0936128968,402.9600827322,-428.8251671856,446.4280011822,-188.5399797258,-12.1015363404,-496.296444214,431.840177087,348.8146761667,-289.7756882524,-249.9114918645,216.9073939225,-459.1290165332
1897,795.1666666667,-631.8701248111,254.8018513135,239.6456081099,-646.1036939019,698.6455788694,-641.4235056341,681.203693119,-243.4439434211,-482.7319889432,-753.2370439278,758.1952323059,463.5084082346,-379.7161873086,-469.9637371094,410.184783066,-756.9841967897
