Year,Mean_chattisgarh,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2956.25,2954.7034773758,-2955.8633440581,-1505.6438123054,23.9066060786,-2402.848043407,1464.3009496637,-644.5019794777,-2098.8196643256,95.6107906237,-47.8116487268,2544.1011719204,-2956.1533344341,1722.1310469286,2568.1193101789,-2885.139729883,2081.9150028616
1872,3457.75,2730.8586501005,-3270.9831518891,-2340.9879975836,568.239856511,-3040.6578686621,1389.511391435,-448.462261241,-2638.2632948922,2120.9540531731,-1121.0282255847,2544.7613360922,-3410.7387070798,1646.3398155434,3166.2743335934,-3428.5443941624,2235.0843047466
1873,2420.75,674.6829254059,-1935.622542514,-1973.3582930744,766.2807229434,-2256.3628077577,735.874810868,-97.6503343369,-1964.0525225367,2324.829781439,-1453.7523638543,1402.1011410217,-2296.2674966444,876.8451643635,2306.1914112298,-2418.779645752,1415.1071518501
1874,4054.5,-1373.3214897526,-2331.3985362651,-3721.0232686149,1868.9990482493,-3933.3735716735,822.2169444255,200.0669305972,-3465.3157786215,3814.8339853503,-3317.1600979002,1610.2658427807,-3598.0290170652,983.6374309983,3970.2556021369,-4049.5608988237,2104.8887867146
1875,3159.5,-2612.5526888107,-929.5375274035,-3097.0954608046,1876.9078869471,-3136.9868066895,313.9802076468,438.0040641948,-2820.6852641521,1776.7973148866,-3019.6688949533,624.8519477953,-2541.5855354317,376.5023567739,3143.8601557967,-3128.9922802316,1423.437701691
1876,2907.25,-2905.8751766554,44.7043351852,-2907.0972311473,2071.4812624022,-2907.1950029048,-14.9019671029,659.3706218294,-2690.2059830633,-89.3980995221,-2906.9062738444,-29.8035426723,-2039.8695894631,-17.8823260684,2907.211807536,-2831.4895277165,1102.2224508649
1877,2528.75,-1999.6217274849,817.9343247238,-2468.0294971239,2057.052258226,-2506.8343021471,-277.0802876857,791.8763042712,-2407.9397272865,-1547.9307185629,-2392.8142432999,-550.8238954752,-1470.7523820914,-332.202263807,2513.5240354284,-2401.5637574784,772.2712167727
1878,2228.5,-624.5090740755,1336.879534293,-2026.6338823068,1993.1693721523,-2155.110142012,-474.2671416404,884.6647929643,-2168.8695437764,-2139.2056157362,-1782.9653279828,-926.8049185704,-996.7387340292,-567.1970784456,2177.44872003,-2045.3802712673,512.0714325944
1879,3086.5,1040.8185310633,2523.7837314365,-2478.887434824,2942.4599179155,-2862.9325036246,-968.3481250087,1474.1528075904,-3050.2774289109,-2905.7148923105,-1776.7942837978,-1838.9125415505,-931.8861955521,-1153.2994969606,2930.6627507771,-2711.7071652141,471.4762525058
1880,3128.75,2584.3203210763,2989.5458490436,-2070.592938911,3093.7532333474,-2732.8097204696,-1286.6057875049,1734.600664011,-3119.9885409514,-1763.6227035769,-922.8717023326,-2345.5748642565,-466.6556478309,-1523.4262680573,2851.9681116834,-2603.8888415047,233.9830481726
