Year,Mean_coastalkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,6066.25,6063.0765224966,-6065.4565787373,-3089.5938355679,49.0565578434,-4930.6645051391,3004.7579318047,-1322.5235122222,-4306.7957001997,196.1941509078,-98.1099075143,5220.5171193782,-6066.0516414413,3533.8274717736,5269.802542198,-5920.3311243646,4272.1071919184
1872,8766,6923.2035071307,-8292.513429097,-5934.8133285569,1440.5872553469,-7708.5986195334,3522.6539967665,-1136.930137239,-6688.4581138096,5376.988859841,-2842.0022920903,6451.4143220834,-8646.8181639105,4173.7588961184,8027.0582917446,-8691.9586896762,5666.328975608
1873,5295.75,1475.9690600923,-4234.4616666398,-4317.0142230915,1676.3528404534,-4936.1286126956,1609.8353938467,-213.6246031455,-4296.6564685422,5085.9102819604,-3180.299114275,3067.304396392,-5023.4260437279,1918.2289700209,5045.1360801487,-5291.4395575714,3095.7569759002
1874,8513.75,-2883.7380277177,-4895.5344156189,-7813.5064380739,3924.5753229824,-8259.4054127105,1726.5136294494,420.1060131637,-7276.5648563914,8010.492747016,-6965.4635056104,3381.2802611849,-7555.2397444911,2065.4687823805,8336.851309087,-8503.378740254,4419.9030479446
1875,6577.25,-5438.649207938,-1935.0532369408,-6447.3401233034,3907.2297513604,-6530.3834386131,653.6244091613,911.8095367068,-5871.9266192892,3698.8258076714,-6286.158328638,1300.777804601,-5290.914215198,783.7791188768,6544.6919480025,-6513.740932158,2963.2238086555
1876,6363.75,-6360.7406158537,97.85440297,-6363.415600555,4534.3155503009,-6363.629615525,-32.6192770319,1443.3123380055,-5888.6570899369,-195.6856671541,-6362.9976094856,-65.2376970266,-4465.1199931021,-39.1430570188,6363.6663995896,-6197.9160656999,2412.6814418063
1877,5758,-4553.167338352,1862.4481826039,-5619.7385445138,4683.9374801247,-5708.0976418243,-630.9157870468,1803.1136964878,-5482.9132771984,-3524.6604359802,-5448.4723333349,-1254.233906138,-3348.9242574719,-756.4293168564,5723.3302604039,-5468.395102545,1758.4726312119
1878,10661,-2987.6110561899,6395.5453063035,-9695.2855370304,9535.193482843,-10309.9076616511,-2268.8633596714,4232.1792047533,-10375.7317505945,-10233.821435658,-8529.5909183864,-4433.7748426651,-4768.3336968746,-2713.4341724517,10416.7739754273,-9784.9670504736,2449.7166447787
1879,6511.25,2195.7005217515,5324.1493022245,-5229.4365170898,6207.3844615349,-6039.6142116397,-2042.8176669246,3109.8582434546,-6434.8352207989,-6129.867517433,-3748.3077208419,-3879.3517855729,-1965.8979396692,-2432.9892595447,6182.4972739339,-5720.5907271992,994.6216585544
1880,5927.5,4896.063508807,5663.7740376207,-3922.7933345249,5861.1976957784,-5177.3806210415,-2437.5088471228,3286.2470430445,-5910.9011830569,-3341.2300680631,-1748.4049590336,-4443.7538978444,-884.091522978,-2886.1715394037,5403.1293590102,-4933.1365906573,443.2871012523
1881,5200.5,5198.2888083228,5199.9471726972,-2556.347862686,5200.3617913378,-4189.3929194405,-2622.1091882397,3259.3692734649,-5200.4654477197,151.6367873105,75.8264542137,-4528.8283092806,37.9142347168,-3081.2638992046,4491.0737752735,-4052.3711810733,-18.9572433109
1882,7393.75,5853.8457061767,6998.1930079323,-2217.081373126,7294.19044908,-5360.5245207328,-4374.6424802463,5131.5218192972,-7368.818076713,4516.6391831513,2385.9659859747,-7053.5160911022,1209.2662052048,-5092.3782189781,5960.7081989077,-5323.0651771866,-606.6788399207
1883,7664.75,2159.6651336702,6136.028271439,-728.6691749925,7272.5344707335,-4851.9234371171,-5155.7407568397,5792.60663651,-7566.0607698807,7354.1987376539,4593.2068987365,-7630.0349799929,2420.4617192788,-5933.5681948431,5671.5720757795,-5019.3725620998,-1226.0167164329
1884,5922.75,-1988.3657417715,3413.3835387649,674.4497110092,5258.1168167282,-3145.3069500861,-4420.0432457375,4805.5944622834,-5754.193207513,5579.011493038,4840.2252406049,-5884.2234109371,2726.0181775146,-5018.5667029781,3942.3578310841,-3461.9690100536,-1402.9355270687
1885,6759.75,-5577.4191246112,1999.0324078051,2148.5498781601,5440.9180926182,-2844.0019590107,-5487.1613836934,5816.6660166102,-6421.5833771382,3819.2428530956,6457.4057867727,-6409.2084911913,4011.3127990622,-6132.3627517983,3947.8196528975,-3443.9245801428,-2111.2761527006
1886,6952.25,-6949.6080250155,-95.8323290597,3531.3080098284,4881.9837030041,-2111.872986265,-6036.7340579915,6275.5926015885,-6413.8347056075,-191.646448285,6951.589474876,-5988.6262032475,4949.7490023336,-6623.7279950481,3448.4231143503,-2991.7749850862,-2682.6301332172
1887,7611,-6033.2459745765,-2450.3352717024,5143.9202563654,4431.5809395222,-1385.3913853254,-6966.9827784773,7136.0407062386,-6769.6411843872,-4639.7482701388,7205.7739387418,-5609.5815705054,6187.7630349314,-7483.8500592587,3064.061351279,-2646.553237497,-3478.4018219073
1888,7173.75,-2032.2778936186,-4294.3937594935,5841.306075902,3213.7036134602,-411.8719364822,-6832.5236378845,6922.5202631855,-6103.9739252212,-6879.8645063409,5746.3789729641,-4164.3525775481,6413.641566796,-7161.916682735,2186.1632602002,-1881.8613839192,-3768.8448339936
