Year,Mean_gujarat,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1676,1675.1232230298,-1675.780791422,-853.6013630186,13.5534788289,-1362.2573600846,830.1626694753,-365.3903822764,-1189.8931948955,54.2050520373,-27.1060712951,1442.3386263471,-1675.9451969595,976.3354366689,1455.9553366122,-1635.6851373476,1180.3093597619
1872,2282.25,1802.4733292436,-2158.9765883592,-1545.1434769677,375.0604909326,-2006.9529089015,917.1317686653,-296.0026016101,-1741.3567796306,1399.9124829309,-739.9223968883,1679.6418362508,-2251.2207112234,1086.6485558597,2089.8646801659,-2262.9731598806,1475.242904926
1873,2092.75,583.2666289965,-1673.3549833093,-1705.9777208846,662.4533648414,-1950.6364828813,636.167307836,-84.4191829737,-1697.9328375663,2009.826510423,-1256.7758998063,1212.1231696265,-1985.1342780554,758.0368554051,1993.7135498714,-2091.0466192905,1223.3669284455
1874,2264.5,-767.0209677013,-1302.1215896836,-2078.2481666737,1043.8644332866,-2196.8490450252,459.2206858186,111.7404277562,-1935.4316390895,2130.6428807068,-1852.6844349969,899.3579975279,-2009.5540039818,549.3764860021,2217.448220752,-2261.7414367705,1175.6124448181
1875,2541.25,-2101.3291724767,-747.645906477,-2491.056762073,1509.6351219194,-2523.1421815159,252.540656016,352.2955619987,-2268.7344287155,1429.1141561815,-2428.7810031018,502.5811085092,-2044.2488501079,302.828489999,2528.6705557583,-2516.7120215662,1144.8998447293
1876,2025.75,-2024.7920334026,31.1496455418,-2025.643551809,1443.3926106497,-2025.7116784364,-10.3835789349,459.4445050033,-1874.515356502,-62.2919253958,-2025.5104941922,-20.7668850523,-1421.3658339857,-12.4602707139,2025.7233877774,-1972.9606710024,768.0203387529
1877,772,-610.4628664828,249.7064947847,-753.4626878021,627.9957858034,-765.3093746941,-84.589612296,241.7512632318,-735.117931573,-472.5664912429,-730.5002850529,-168.1605723408,-449.0047806128,-101.4177548825,767.3516778451,-733.1714170137,235.7660422535
1878,3943.25,-1105.0461774056,2365.55989392,-3586.055219388,3526.8409812607,-3813.3893055816,-839.1985219983,1565.3822952015,-3837.73606843,-3785.2468226394,-3154.8925418748,-1639.9477205083,-1763.6930729013,-1003.6346778464,3852.9166099432,-3619.2262753757,906.091844998
1879,2286.75,771.1296860227,1869.8404172566,-1836.5773016633,2180.0324695588,-2121.1115835619,-717.4372508873,1092.1817374882,-2259.9131412804,-2152.8085306953,-1316.4050958933,-1362.427751301,-690.4230544885,-854.4654542928,2171.2920930956,-2009.0705848221,349.31097373
1880,2483.75,2051.5559240826,2373.243149041,-1643.7347861031,2455.9679083745,-2169.433845215,-1021.3686375439,1377.0081979185,-2476.7947386618,-1400.0472680813,-732.6192858709,-1862.0284679496,-370.4533648581,-1209.3679563044,2264.0274222592,-2067.0903428165,185.746830491
