Year,Mean_kerala,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,5742,5738.9961495447,-5741.2489882728,-2924.4504931104,46.4344125509,-4667.1132229151,2844.1491933934,-1251.8326819996,-4076.5911247553,185.7072844859,-92.8657884108,4941.4727878788,-5741.8122439985,3344.9391869646,4988.1238322359,-5603.8807032518,4043.7567683488
1872,5928.5,4682.2053378992,-5608.2781045404,-4013.7509489334,974.2780679129,-5213.3729084992,2382.3926785113,-768.9128814307,-4523.4455769701,3636.4908117234,-1922.0637221831,4363.1313949888,-5847.8965873538,2822.7389477114,5428.7491538453,-5878.4254040321,3832.1733210007
1873,5012,1396.8856024515,-4007.5762400413,-4085.7055726072,1586.5326792905,-4671.6473789039,1523.5792841353,-202.17844705,-4066.4386008277,4813.4036412568,-3009.8964567335,2902.9560751011,-4754.2673523418,1815.4489161582,4774.8141497815,-5007.9205141005,2929.8841454396
1874,5751,-1947.9521241996,-3306.9115753017,-5277.9886096447,2651.0330562292,-5579.1913702538,1166.2522252783,283.7797306363,-4915.2869756696,5411.0519792205,-4705.1394063445,2284.0396748876,-5103.5306146608,1395.2149132251,5631.5057264495,-5743.9942604846,2985.6247163388
1875,4861.75,-4020.1228152636,-1430.3462806944,-4765.7236450599,2888.1332234104,-4827.107329458,483.1439387647,673.9883712926,-4340.3913856596,2734.0858824655,-4646.5818167556,961.5046549119,-3910.9205497342,579.3512685696,4837.6838463189,-4814.8055763304,2190.3460187359
1876,4339.5,-4337.4478731089,66.7278226971,-4339.2719699247,3091.9917235169,-4339.4179087128,-22.2433867892,984.208036264,-4015.5297492486,-133.4398668419,-4338.9869379474,-44.4861891569,-3044.806632892,-26.6920127178,4339.4429921067,-4226.4163059682,1645.2297963808
1877,5222.5,-4129.7180313553,1689.2385608977,-5097.0970039464,4248.3264136768,-5177.2386131343,-572.2399614192,1635.4222438186,-4972.9966290672,-3196.8633426375,-4941.7587288714,-1137.5888459197,-3037.4708118525,-686.0806021679,5191.0545823132,-4959.8286597849,1594.9328441306
1878,7312.75,-2049.306139307,4386.9265489795,-6650.3329247649,6540.5202271513,-7071.9235768445,-1556.2921427106,2902.9986379852,-7117.0746045549,-7019.7333930783,-5850.7425183782,-3041.2800844854,-3270.7656169046,-1861.2386966135,7145.2268913616,-6711.8485881578,1680.3456893448
1879,3942.5,1329.4758006535,3223.721808258,-3166.3741168941,3758.5123040278,-3656.9290120007,-1236.9066848686,1882.9896141017,-3896.2315773469,-3711.5765310009,-2269.5647056125,-2348.9106415237,-1190.3325209669,-1473.1518764838,3743.443348433,-3463.7633237831,602.2339625803
1880,4059.5,3353.111735808,3878.8849777683,-2686.5591803465,4014.0922895002,-3545.7742102266,-1669.3491632046,2250.6149086865,-4048.1321556507,-2288.2705122399,-1197.4103637616,-3043.3435593926,-605.4777794229,-1976.6197155984,3700.3801995617,-3378.5015587977,303.5890320597
1881,3347.75,3346.3265759182,3347.3941250643,-1645.6136058662,3347.6610300839,-2696.8637911849,-1687.9465503181,2098.1739227463,-3347.7277574471,97.6140860915,48.8122319188,-2915.3706321304,24.4067645944,-1983.5210496226,2891.0666726607,-2608.6579408592,-12.2034633774
1882,6631.75,5250.548268732,6276.9591182221,-1988.5889293292,6542.451058081,-4808.0687730001,-3923.7917522736,4602.6670938461,-6609.3875611485,4051.1542725766,2140.0682911226,-6326.5806035053,1084.6392096524,-4567.5576336376,5346.3975111555,-4774.4699900331,-544.1545084218
1883,4805.75,1354.0964436068,3847.2510995751,-456.8709857099,4559.833332167,-3042.125451962,-3232.6169988822,3631.9278963317,-4743.872473969,4611.0363134453,2879.9118110314,-4783.9839009884,1517.6142610553,-3720.3099060462,3556.0399886725,-3147.1149992252,-768.7047633644
1884,4240.75,-1423.6903498236,2444.0177691136,482.9129394221,3764.865795541,-2252.0721706264,-3164.7964871658,3440.8551291087,-4120.0616005674,3994.6296887596,3465.6511230586,-4213.1645654352,1951.8570910971,-3593.3454469046,2822.768810463,-2478.8054669511,-1004.5162865926
1885,5932.75,-4895.0676151539,1754.4671796155,1885.6924131299,4775.2663654692,-2496.0616328001,-4815.852168957,5105.0446111238,-5635.955291352,3351.9897979516,5667.395122819,-5625.0943712586,3520.5615605068,-5382.1184386599,3464.8362802955,-3022.5886390536,-1852.9788224319
1886,3728.25,-3726.8332006565,-51.3915467391,1893.7177298922,2618.0381517818,-1132.5240693362,-3237.2906255826,3365.3821592826,-3439.5165940783,-102.773328177,3727.8957833373,-3211.4920554148,2654.3783261463,-3552.0750688681,1849.2694417025,-1604.3849240386,-1438.601286514
