Year,Mean_kngoa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,3641.5,3639.5949980089,-3641.0237183551,-1854.6475915467,29.4480866082,-2959.8211078449,1803.7215757126,-793.8956307038,-2585.3198503651,117.7730888985,-58.8942473873,3133.8162934623,-3641.380927642,2121.31592639,3163.4017650796,-3553.9065797442,2564.4967384086
1872,5005.25,3953.0417926153,-4734.896513916,-3388.6863350171,822.5529728297,-4401.4902167944,2011.3807799812,-649.1694694748,-3819.0058149835,3070.1772177412,-1622.7392165737,3683.6574875209,-4937.199020638,2383.1515759522,4583.3257488883,-4962.9735605181,3235.3859348804
1873,5303.75,1478.1987258584,-4240.8584363765,-4323.535700462,1678.8852150413,-4943.5853523268,1612.2672841645,-213.9473141543,-4303.1471925659,5093.5932885705,-3185.1034182762,3071.9380054504,-5031.0146588155,1921.1267336541,5052.7574914014,-5299.4330460216,3100.4335667149
1874,7520.5,-2547.3089810542,-4324.400713277,-6901.9498067872,3466.7178054898,-7295.8283255075,1525.0912641637,371.0946729699,-6427.6500957265,7075.9548617159,-6152.8431412648,2986.8058381138,-6673.8135954715,1824.5024786836,7364.2390568185,-7511.338695179,3904.2585079509
1875,6747.5,-5579.4268927837,-1985.1414673698,-6614.227447944,4008.3671363114,-6699.4203127511,670.5432666868,935.411433187,-6023.9195505195,3794.5687235946,-6448.8735143844,1334.4480195439,-5427.8678272908,804.0669891856,6714.0991933022,-6682.3470203711,3039.9259035163
1876,4222.5,-4220.503201798,64.9287317291,-4222.2781179876,3008.626581991,-4222.4201220278,-21.6436687907,957.6721818469,-3907.2645157743,-129.8421103214,-4222.0007709374,-43.2867689169,-2962.713678393,-25.9723525063,4222.4445291325,-4112.4652268581,1600.8717168379
1877,4122.25,-3259.6898333661,1333.3582877282,-4023.2662756377,3353.3103990003,-4086.5240541873,-451.683328092,1290.8797213176,-3925.3107427807,-2523.3642727022,-3900.6538860871,-897.9273566477,-2397.5517576178,-541.5405959381,4097.4293445554,-3914.9169349542,1258.9204244552
1878,9385.75,-2630.2382957165,5630.5214669016,-8535.5525963027,8394.6104710246,-9076.6547073766,-1997.4659298411,3725.9333994009,-9134.6050350007,-9009.6697814208,-7509.2963101253,-3903.4145229851,-4197.9540376551,-2388.8579668031,9170.7378613514,-8614.5065654237,2156.6858642465
1879,5247.5,1769.543250204,4290.8003015432,-4214.4700515921,5002.6108599584,-4867.4026608684,-1646.3329940007,2506.2746987949,-5185.9163480349,-4940.1389591445,-3020.8093323276,-3126.4194271136,-1584.3423979135,-1960.7772915279,4982.5539558408,-4610.2975374894,801.5783687102
1880,5544.25,4579.5023380351,5297.5755728518,-3669.1601762867,5482.2345550096,-4842.6305370239,-2279.9086335994,3073.7705893546,-5528.7244005337,-3125.1986174371,-1635.359627857,-4156.4373763178,-826.929468793,-2699.5624727692,5053.783205178,-4614.1784129484,414.6258137694
1881,4970.75,4968.6364953313,4970.2215957474,-2443.4123908175,4970.6178971815,-4004.3120573616,-2506.2684833078,3115.3754093021,-4970.7169741857,144.9377099363,72.4765594237,-4328.7517197109,36.2392428072,-2945.1384534124,4292.6651222845,-3873.3437262417,-18.1197417917
1882,6160.5,4877.4460149317,5830.9204429913,-1847.2804462069,6077.5466118759,-4466.408968382,-3644.9683854008,4275.603065803,-6139.7266287866,3763.2805663978,1987.9957337748,-5877.0158416548,1007.5650998701,-4242.988472428,4966.484241335,-4435.1977040146,-505.4870658774
1883,6178,1740.7496912247,4945.8081034542,-587.3274618355,5861.8634606727,-3910.7841735881,-4155.6693167756,4669.0007893746,-6098.4537573075,5927.6871132425,3702.2515046667,-6150.0187359531,1950.9589356084,-4782.6196950639,4571.4435936157,-4045.752788891,-988.2033039724
1884,5895,-1979.0496049543,3397.3907325177,671.2896959013,5233.4808382277,-3130.5701693905,-4399.3339130679,4783.0786974228,-5727.2329506208,5552.8720191564,4817.5472193434,-5856.6539204717,2713.2459003754,-4995.0530942646,3923.8866091327,-3445.748565154,-1396.3623202178
1885,5159.75,-4257.2711014775,1525.8711440767,1639.9985552479,4153.0792009152,-2170.8405056408,-4188.376929548,4439.889415911,-4901.6257746498,2915.2466158157,4928.9691938756,-4892.1799641147,3061.8545382538,-4680.8622668873,3013.3899114668,-2628.7643555445,-1611.5473396053
1886,6827.5,-6824.9054321685,-94.1127299299,3467.9428152186,4794.3822118394,-2073.9778940234,-5928.4119214552,6162.9844276811,-6298.7459387299,-188.2075767795,6826.8513272273,-5881.1673059329,4860.931542081,-6504.8729384287,3386.5451923085,-2938.0910799635,-2634.4934711123
1887,6787,-5380.0604952636,-2185.0513058789,4587.0170516295,3951.7986909128,-1235.4028816454,-6212.7068870746,6363.4618674604,-6036.7303532303,-4137.4289199096,6425.6454765788,-5002.2638443069,5517.8488658625,-6673.6158654827,2732.3327277796,-2360.0258603196,-3101.8148949264
1888,5342.5,-1513.4963786942,-3198.1597714019,4350.1903063957,2393.3384289822,-306.7329946898,-5088.3788165741,5155.4019175562,-4545.8066834632,-5123.6349364177,4279.4953355024,-3101.3143259175,4776.4251710204,-5333.6873849119,1628.0992810761,-1401.4768347919,-2806.7682210296
1889,6109.5,2041.8926283323,-4990.0367364778,5603.1309499475,1849.2377900758,416.0685734254,-5981.5683055828,6015.4219413884,-4930.715390715,-5758.1824167321,3524.9856196305,-2435.3467530808,5822.9124882447,-6095.3160042944,1243.7165495594,-1068.0304850816,-3607.4971913733
1890,6714.75,5534.240699626,-6412.835188133,6580.0009612645,1006.7975176231,1292.8891295203,-6680.977810813,6689.9322552037,-5091.5744713183,-3802.6369062933,1990.8320904444,-1338.4524318249,6638.8422425155,-6589.1050425129,672.6091390433,-576.7789726446,-4377.640570618
1891,5731,5729.0664648324,-5730.5165958208,5730.7851520201,-37.2182035517,1799.2698573309,-5730.9462877533,5730.9605379249,-4039.2489076216,148.8571178454,-74.4348374276,49.624000099,5730.879147681,-5441.2304656668,-24.8122325954,21.2676455664,-4065.5662904788
1892,8162.25,6478.1388144496,-7729.764343133,7969.0790791889,-1328.5435733845,3513.1707505341,-8113.8135539526,8126.6546899159,-5281.0235883133,4965.485128688,-2621.6537265873,1765.2489037339,8053.4028234107,-7367.4932195484,-887.893391233,761.4516487393,-6223.593409131
1893,5235,1491.0364052077,-4195.8789652028,4764.254964987,-1649.2117233945,2827.4178955257,-5115.9603077871,5147.4538921781,-3063.6254363115,5018.1705270293,-3130.4671711055,2169.5851282209,4968.4329210948,-4405.7840441925,-1110.0338414421,953.3852463203,-4244.9292321528
1894,5759,-1916.102819533,-3326.5030333903,4630.7342618917,-2646.5779821031,3693.0845766711,-5469.6654200341,5545.9501802585,-2993.6965779007,5430.895965214,-4701.1124820456,3423.7963134134,5114.8515114955,-4418.9599805333,-1802.4542138104,1551.9399466766,-4919.742046029
1895,5031.75,-4142.5826176931,-1495.6717514086,3335.9935590573,-2982.6717659969,3684.960679729,-4588.2673011327,4704.6311559408,-2270.5119911537,2856.136782104,-4804.3182736512,3766.9158520504,4052.4285556719,-3426.3060066713,-2065.505080085,1784.6438717715,-4490.3544804979
