Year,Mean_marathwada,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,608.5,608.1816713685,-608.4204126374,-309.9143373489,4.9208185366,-494.5904556154,301.4045252839,-132.6611262621,-432.0107452828,19.6800561842,-9.8413152644,523.6653067615,-608.480102834,354.4750078837,528.6090825349,-593.8630107852,428.531172682
1872,2704.25,2135.7601054253,-2558.1826877294,-1830.8486132501,444.4111436541,-2378.0490322694,1086.7142448957,-350.7350357779,-2063.3427851095,1658.7636463866,-876.7379304569,1990.2164248796,-2667.4832329175,1287.5755754995,2476.2916250799,-2681.4087709967,1748.0230586685
1873,1970,549.0551948981,-1575.2045476619,-1605.9138024813,623.597242259,-1836.2221341662,598.8529907715,-79.4675859315,-1598.3407908282,1891.9403777486,-1183.0598602883,1141.0262306363,-1868.696465306,713.5742946592,1876.7725209636,-1968.3965308815,1151.6104881317
1874,1983,-671.6725895127,-1140.254851995,-1819.9011324857,914.1016432799,-1923.7587353875,402.1349613505,97.8499749351,-1694.8381277609,1865.7826595017,-1622.3772287917,787.5588028694,-1759.7463413098,481.0834938142,1941.7972275342,-1980.5843537717,1029.4720592071
1875,2531.25,-2093.0602923096,-744.7038665105,-2481.2542760442,1503.6946000427,-2513.2134370732,251.5468905226,350.9092538354,-2259.8067969251,1423.490490048,-2419.2235766263,500.6034160016,-2036.2045850804,301.6368382921,2518.7200567686,-2506.8085802615,1140.3945821824
1876,1197,-1196.4339449502,18.4060845186,-1196.9371005876,852.8895248415,-1196.9773560846,-6.1355764458,271.4822028824,-1107.6366193918,-36.8078167092,-1196.8584778714,-12.2709916859,-839.8740729512,-7.3626775488,1196.9842750436,-1165.8071939726,453.8172753238
1877,1116.5,-882.8779668757,361.1364008123,-1089.6905322941,908.234837888,-1106.8237264843,-122.3371789228,349.6311987024,-1063.1595474109,-683.4462272963,-1056.4813060383,-243.2011386251,-649.3702558992,-146.674771148,1109.7773941891,-1060.3444133365,340.975111627
1878,2217.75,-621.4965218896,1330.4305977914,-2016.8576587327,1983.5545771105,-2144.7141653341,-471.9793373897,880.3972827447,-2158.4071934979,-2128.8863604662,-1774.3645304616,-922.3341297552,-991.9305934006,-564.4609920228,2166.9449848986,-2035.5136175019,509.601265262
1879,1919.25,647.202645632,1569.3413013314,-1541.4238487886,1829.6828762221,-1780.2310732485,-602.1390373961,916.6589262815,-1896.7260506843,-1806.8340538043,-1104.8477010138,-1143.4741277728,-579.4662500611,-717.1456535045,1822.347151929,-1686.1960073991,293.1737559118
1880,1766.5,1459.1136547124,1687.9049915575,-1169.0619022249,1746.74073886,-1542.9511374222,-726.4208145833,979.3598315543,-1761.5532585188,-995.7457469816,-521.0556491156,-1324.3173784129,-263.4749346842,-860.130244514,1610.2282602601,-1470.162089818,132.1074085807
1881,1503.25,1502.6108357103,1503.090200434,-738.9347033137,1503.2100495776,-1210.9806568886,-757.9435895051,942.1491895656,-1503.2400123612,43.8319393375,21.9182996436,-1309.0974244642,10.9594410803,-890.6662737197,1298.1841462705,-1171.3733252473,-5.4797569478
1882,2265.25,1793.463937233,2144.0617699028,-679.25526025,2234.7475793445,-1642.3233366817,-1340.2750807612,1572.1629485935,-2257.6115162501,1383.7791255633,730.9970515272,-2161.0113035157,370.4872725397,-1560.1703818144,1826.2037866544,-1630.8467817578,-185.8703962306
1883,2663.5,750.4834578467,2132.2693239803,-253.2124788927,2527.205135562,-1686.0429987621,-1791.6194925918,2012.9303338458,-2629.2055005809,2555.5834616577,1596.1390227711,-2651.4365333783,841.1102500798,-2061.9144638722,1970.8708338614,-1744.2315560394,-426.0407089884
1884,1577.25,-529.509073692,908.9965280515,179.6084262698,1400.2557509915,-837.6067514285,-1177.0736920079,1279.747391944,-1532.3627093073,1485.7111776445,1288.9696949465,-1566.99022834,725.9486168562,-1336.462679038,1049.8643179397,-921.9350168599,-373.6068650659
1885,1264.25,-1043.1232114042,373.8713297929,401.8350062449,1017.5939492722,-531.9027296393,-1026.2426538459,1087.8686358962,-1201.0039993413,714.2982768632,1207.7037266064,-1198.6895720979,750.2203788919,-1146.9121800305,738.3455003773,-644.1039462178,-394.8638449723
1886,1927,-1926.2677067431,-26.5624651153,978.7954309669,1353.1709296543,-585.3614649261,-1673.2405379193,1739.4465019614,-1777.7639581007,-53.1198828933,1926.8169179886,-1659.9061733479,1371.9538750041,-1835.9414357162,955.8216895757,-829.2495805331,-743.5619068229
1887,2008,-1591.7432554132,-646.4686934146,1357.1136348419,1169.1781009802,-365.5059652783,-1838.0897936122,1882.6921216827,-1786.0254234988,-1224.0986107527,1901.0897476013,-1479.968439571,1632.5092857893,-1974.4542003668,808.3872281393,-698.2366181703,-917.7021230311
1888,1308.5,-370.6897541453,-783.3022107402,1065.4607423339,586.183122943,-75.1259005244,-1246.2599310224,1262.6754158395,-1113.3716509708,-1254.8949582223,1048.1459328975,-759.5825541344,1169.8553741283,-1306.3415897346,398.7586166192,-343.2536150351,-687.441500649
1889,2005.5,670.2701802309,-1638.0258081686,1839.2796661134,607.0294439802,136.5783654971,-1963.5052355915,1974.6180053121,-1618.5530266109,-1890.1767471571,1157.1092004532,-799.4251433511,1911.4249930722,-2000.8439719474,408.2614845964,-350.5909056111,-1184.1943886241
1890,1864.5,1536.7052808299,-1780.6666232211,1827.0839260252,279.5597708937,358.9994835237,-1855.1223989368,1857.6088000041,-1413.7891361217,-1055.886892555,552.7989028085,-371.6511499516,1843.4225192554,-1829.6118771012,186.7649189838,-160.1555373612,-1215.549475992
1891,1534.75,1534.2322032632,-1534.6205453561,1534.6924641534,-9.9669582797,481.8407631371,-1534.7356159709,1534.7394321375,-1081.7025407385,39.8636296655,-19.9334962034,13.2892050518,1534.7176359978,-1457.1503153345,-6.6446648012,5.6954316931,-1088.7502816807
1892,3250.25,2579.6282497675,-3078.0319833708,3173.3283441617,-529.032895267,1398.9626918954,-3230.9623576507,3236.0757641458,-2102.9307994628,1977.2817592598,-1043.956020073,702.9312076157,3206.906493527,-2933.7737556234,-353.5637226077,303.2139693485,-2478.2669580113
1893,2324,661.9233248716,-1862.6977488312,2115.0197781528,-732.1428930599,1255.1899119774,-2271.1541079842,2285.1352140252,-1360.0507190044,2227.7417965265,-1389.7241080514,963.1548878673,2205.6615298232,-1955.881971099,-492.7829317118,423.2411294075,-1884.4728816663
1894,2289.75,-761.8330319544,-1322.60120172,1841.157106471,-1052.2663543185,1468.3522155639,-2174.7119978335,2205.0424423072,-1190.278996223,2159.2974537852,-1869.1391397402,1361.2845300639,2033.639737532,-1756.9566965491,-716.6469067672,617.0436695438,-1956.0651762276
1895,2103.5,-1731.7876556501,-625.2587129901,1394.5968006115,-1246.8922461916,1540.4809042202,-1918.1040925985,1966.7494681813,-949.1771199666,1193.9948767637,-2008.4232103394,1574.741887969,1694.0991636818,-1432.3515049502,-863.4749214406,746.0621819986,-1877.1720871918
1896,1364,-1363.5945072758,16.6296734146,672.3761930622,-970.3553149588,1107.3960097652,-1178.47722238,1226.8525055995,-518.1367340752,-33.2568748857,-1363.8986230516,1186.7629312559,958.5961416213,-796.3479626119,-686.7950468164,596.0947319884,-1261.7568406004
1897,1818.5,-1445.0502896277,582.7170403859,548.0555921373,-1477.6016357499,1597.7618761357,-1466.8983169091,1557.8732960849,-556.7421644661,-1103.9800317248,-1722.6093871926,1733.9484761454,1060.0168187483,-868.3888743918,-1074.7797810943,938.0687839096,-1731.1789082315
1898,1517.25,-434.4600359173,906.3286029373,146.6465992682,-1355.9451750175,1413.3401934822,-1123.5094826568,1224.4485219994,-349.814054681,-1453.7166297772,-1216.8056648445,1510.1464622424,680.7791454258,-551.8306442993,-1019.6930934748,895.9762159083,-1476.3731539308
1899,757.25,250.8104117963,617.8000270447,-85.0331025584,-721.5457826706,734.3339639841,-504.4978917635,568.5926421485,-116.2691243896,-714.5080124355,-437.8934677334,752.4605863228,229.780865196,-184.8815616534,-564.7206740559,500.1299529068,-748.2707085097
1900,1578.5,1298.1324655106,1506.7787406929,-499.3333946304,-1560.466675739,1566.9507410341,-922.8934084107,1087.0697217662,-119.3013041547,-898.0614410983,-470.4041630298,1497.440620194,237.9201628868,-190.5980723216,-1280.5975194073,1144.5268323719,-1573.9852123915
1901,1752.25,1751.7949089768,1752.1362235504,-887.628321364,-1752.2215556567,1752.2317956026,-870.3543348516,1088.0436900135,4.992073743,39.9331864853,19.9678897903,1510.793177643,-9.9841069676,7.9873011331,-1520.8101111924,1373.5141029934,-1752.2428888998
1902,1332.5,1060.142945454,1262.5760818298,-899.0093730591,-1314.902825124,1321.2288577751,-537.4133699485,730.4962165594,108.2779652613,807.2503856946,425.9787407738,983.5336278704,-215.8397796535,172.9466836411,-1219.3207616541,1114.4198165828,-1328.0934199968
1903,2046.75,589.2033095886,1642.4276904023,-1664.6946503576,-1943.0420013256,1980.172769367,-625.288648098,964.1814804626,325.779331977,1960.1084211007,1221.3176672348,1190.7885133687,-643.2521617411,517.7850576809,-1948.8970391121,1805.4195177944,-2020.6566728063
1904,1517.75,-500.4158150688,878.652081082,-1390.9901586521,-1348.5435214635,1408.7147605615,-310.1529858036,592.157321908,358.3386197431,1432.8813888557,1237.5522546181,607.2161402935,-696.4161350938,564.8785585205,-1485.7221099173,1397.4672692449,-1474.841854607
1905,1135.75,-932.9918368065,339.3247587835,-1112.5962316612,-915.2366244006,992.9014340019,-114.6666743017,347.6440542559,353.8700795045,647.6529124094,1083.8758095725,228.1615388126,-672.5102109677,551.4297823449,-1129.9467316226,1081.2361786587,-1079.2145427724
1906,1841.75,-1841.3361771736,-19.5212472777,-1841.7040181553,-1295.393724959,1485.4038646261,6.5071907332,404.3882975942,709.3136363967,-39.0403013791,1841.6465413876,-13.0143002357,-1309.1975251416,1088.8610661852,-1841.738504503,1796.8063800168,-1699.6815077307
1907,1212,-965.4407894553,-386.5422119123,-1183.7323098485,-707.267572833,880.037501016,130.8824672438,159.1074179802,553.0532079856,-732.7128237283,1148.7075861201,-260.2341611334,-984.2340069409,833.3534645068,-1204.9123535628,1201.5110609327,-1078.4600823103
1908,1635.75,-473.3819618933,-975.0239787649,-1489.7368365437,-735.1131168859,1037.4743757699,345.5727362825,68.5872944431,858.2589299139,-1565.7546361592,1313.3949532922,-675.545868424,-1461.2620462745,1264.6442116741,-1598.8300555213,1634.3114285659,-1392.5048192818
1909,2117.5,694.9740302042,-1725.6033378151,-1704.6560027402,-644.143300119,1127.3654717433,661.1343147189,-101.1183319176,1248.9661348487,-2000.2043263981,1227.2324028159,-1256.1664548626,-2017.1479020914,1792.4434002559,-2011.6430269561,2115.0842377906,-1709.9385497734
1910,2462.75,2020.8518063556,-2349.6798025053,-1635.7097857275,-373.1377955127,1039.6996848289,1009.1564020754,-337.5281772167,1604.087350583,-1407.5850024952,737.6600763217,-1841.0842075732,-2434.3183333451,2232.5237127222,-2246.4952523097,2439.5106665241,-1868.7004399313
1911,1455.5,1455.2202559485,-1455.4300623069,-719.4965912512,7.134224288,444.3427291568,731.8650700211,-327.8524478888,1031.7131659166,28.5351831466,-14.268277173,-1265.2291907706,-1455.4825154717,1386.015796824,-1258.1151653498,1418.0948566345,-1026.6684923939
