Year,Mean_mpmah,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,970.5,969.9922959131,-970.3730656772,-494.2840828219,7.8482405748,-788.8250405502,480.7117367099,-211.5819606201,-689.0163160179,31.3878299536,-15.6959678949,835.1966807099,-970.4682659005,565.3541415794,843.0815359082,-947.1553853197,683.4667265208
1872,1666,1315.7719647365,-1576.0127050965,-1127.9259645649,273.7871740141,-1465.0382500733,669.4891123218,-216.0763870226,-1271.1580216298,1021.9100434058,-540.1295709129,1226.1072622166,-1643.3491970197,793.2332102365,1525.5622991155,-1651.9282656857,1076.8998486611
1873,1475,411.0946256217,-1179.4044202037,-1202.3973901827,466.9065646356,-1374.8363694899,448.3797773543,-59.4998422583,-1196.7272418637,1416.5543437458,-885.7935502158,854.3216701465,-1399.1509067646,534.275169859,1405.1976997063,-1473.7994330204,862.2464314691
1874,1812.25,-613.8369391551,-1042.071031532,-1663.1950717838,835.3911765174,-1758.1098175522,367.5083629387,89.4244160747,-1548.9008557916,1705.1258823409,-1482.679340836,719.7445489159,-1608.2200237209,439.6588813236,1774.5950709021,-1810.042357601,940.8274025708
1875,1923.5,-1590.5191001511,-565.9013875488,-1885.5081876429,1142.6593829856,-1909.7939935645,191.1507926598,266.6563752109,-1717.2299748684,1081.7121807832,-1838.3709825741,380.4091538485,-1547.3143780354,229.2142058093,1913.9784806694,-1904.9269349661,866.5872508949
1876,1013.25,-1012.7708393657,15.5805890881,-1013.1967561992,721.9635012913,-1013.2308321243,-5.1937116405,229.8073033171,-937.6046822044,-31.1574939688,-1013.1302027596,-10.3872868218,-710.9460354368,-6.2324419602,1013.2366889624,-986.8455633189,384.1523427083
1877,1335,-1055.6579362105,431.8111017326,-1302.9438966526,1085.9771684554,-1323.4300715241,-146.2786689315,418.0543217803,-1271.2207754533,-817.1972355043,-1263.2355965617,-290.7958083873,-776.4525675104,-175.3791486633,1326.9617745119,-1267.8547172452,407.704231099
1878,2353,-659.3986319496,1411.5672174967,-2139.8561925366,2104.5221147293,-2275.5100579556,-500.7631071482,934.0885159727,-2290.0381586295,-2258.7169907235,-1882.5745643901,-978.5828913602,-1052.4237115417,-598.8847770171,2299.0966292262,-2159.6498892941,540.6794170495
1879,1501,506.1618710922,1227.3446884452,-1205.5111095645,1430.9516723769,-1392.2765877015,-470.9186896608,716.8972506701,-1483.3845523393,-1413.0821491522,-864.0752373175,-894.2840514717,-453.1868393079,-560.8626421312,1425.2145760299,-1318.7339883319,229.284255633
1880,1227.75,1014.1108347428,1173.1250231445,-812.5195304029,1214.0169499776,-1072.3794276649,-504.875830798,680.6731011553,-1224.3119236606,-692.0616138447,-362.1432624974,-920.4249427378,-183.1199270074,-597.8063445808,1119.1382657992,-1021.7897004099,91.8170794707
1881,1109.5,1109.0282535976,1109.3820571306,-545.3837041919,1109.4705138908,-893.7854906488,-559.4135456883,695.3697161637,-1109.4926284482,32.3509307799,16.1771850688,-966.2022900003,8.0888075028,-657.3718481237,958.1475538248,-864.5526055958,-4.0444306227
1882,2085.5,1651.1506637676,1973.9281850269,-625.3556319397,2057.4179789087,-1512.0032308353,-1233.9228257046,1447.410144263,-2078.4676380707,1273.9747782197,672.9916569738,-1989.5327550964,341.0887128933,-1436.3692004299,1681.2925712692,-1501.4373527672,-171.121382337
1883,2127.25,599.3864973548,1702.9735008211,-202.2324932324,2018.395766707,-1346.5871857017,-1430.9076649581,1607.6613676266,-2099.8601092963,2041.0606040216,1274.7838318715,-2117.6153052859,671.7671407855,-1646.7833839956,1574.0698259176,-1393.0604759094,-340.2647261857
1884,1421,-477.0533483698,818.9469433262,161.8155484098,1261.5396558306,-754.629382647,-1060.4670891382,1152.9694366476,-1380.5594610402,1338.5294553386,1161.2781337891,-1411.756610855,654.0326419734,-1204.0662335793,945.859689835,-830.6036829659,-336.5955652298
1885,1323.75,-1092.2162160145,391.4670142878,420.7467585657,1065.4854580574,-556.9359211865,-1074.5412007344,1139.0675157347,-1257.5274226838,747.9156369371,1264.5424624047,-1255.1040704485,785.5283579657,-1200.8898543131,773.0946063868,-674.41771707,-413.4475102093
1886,1457.25,-1456.6962198502,-20.0872611776,740.191822406,1023.3047935852,-442.6663179884,-1265.3501680763,1315.4169252638,-1344.3936315217,-40.170705421,1457.1115483855,-1255.2663576083,1037.5089695639,-1388.3890281253,722.8184520676,-627.1011682573,-562.3018104399
