Year,Mean_nwest,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1151.5,1150.8976081854,-1151.3493921972,-586.4689555584,9.3119515939,-935.9423330175,570.3653424229,-251.0423777991,-817.5191013855,37.2417168383,-18.6232942102,990.9623676842,-1151.4623474337,670.7937084273,1000.3177625949,-1123.801572587,810.9345034402
1872,1387.25,1095.6210432657,-1312.3191027281,-939.204858549,227.9779454689,-1219.9125524695,557.4722515417,-179.9231499983,-1058.4717680108,850.927195507,-449.7567510498,1020.9587632113,-1368.3890597633,660.5118672873,1270.3099036302,-1375.5327050255,896.7162755433
1873,1261.5,351.5904204893,-1008.6906278556,-1028.355462858,399.3238178222,-1175.8346305841,383.4787044965,-50.8874922094,-1023.5060444821,1211.5141048375,-757.5786871846,730.6622283998,-1196.629741616,456.9411028998,1201.8012869013,-1260.4732100036,737.4399141006
1874,1177.25,-398.7526757458,-676.9364722698,-1080.4228987488,542.675824282,-1142.0801670373,238.735947176,58.0907125529,-1006.1765940023,1107.6614401908,-963.1586447781,467.5509837005,-1044.7107313701,285.6054175959,1152.7891004108,-1175.8159003922,611.1679181551
1875,1427.5,-1180.3826438605,-419.9762052124,-1399.3048806136,848.0094979006,-1417.3282692037,141.8600241861,197.8954903111,-1274.4194380684,802.7783405604,-1364.3226293863,282.3156054685,-1148.3188326725,170.1082811504,1420.4337307801,-1413.7162462512,643.126228569
1876,1163.75,-1163.1996687016,17.8948043931,-1163.6888477935,829.1981491515,-1163.7279850823,-5.9651437668,263.9410305801,-1076.8689355198,-35.7853773562,-1163.6124090417,-11.9301308057,-816.5442375914,-7.158158728,1163.734711848,-1133.4236608067,441.2112398982
1877,470.5,-372.050231451,152.185111135,-459.2023246255,382.7357736017,-466.4223585409,-51.5536432451,147.3367478634,-448.0220036335,-288.0084638987,-445.2077514474,-102.4864628062,-273.6486389615,-61.8096550158,467.6670523654,-446.835688737,143.689019275
1878,1820.5,-510.1722097171,1092.11989777,-1655.5920945656,1628.2543603335,-1760.546562052,-387.4369896147,722.6978934672,-1771.7868541373,-1747.5538808381,-1456.5350592742,-757.1228872593,-814.2530245906,-463.3530542115,1778.7953308569,-1670.9063423119,418.3199654647
1879,1324,446.4745618428,1082.6145019997,-1063.3555689963,1262.2118682392,-1228.0974031424,-415.3873052038,632.3597334358,-1308.4617903379,-1246.4495439557,-762.182287947,-788.8288368744,-399.7464192163,-494.7249421597,1257.1512982436,-1163.2270490016,202.2467384797
1880,1240.5,1024.6422239857,1185.3077509352,-820.9574241211,1226.6243343084,-1083.5159275246,-510.1188907391,687.7417894385,-1237.0262197524,-699.2485701277,-365.9040660786,-929.9834180137,-185.0216000429,-604.0144739992,1130.7603491948,-1032.4008335235,92.7705860993
1881,1495.25,1494.6142372166,1495.0910508558,-735.0022385696,1495.2102621859,-1204.5360566856,-753.909963218,937.1352574076,-1495.2400655135,43.5986744017,21.8016547761,-1302.1306661767,10.9011170965,-885.9263234854,1291.275466297,-1165.1395074512,-5.4505947622
1882,1409,1115.5460490283,1333.6201451465,-422.5011198288,1390.0272991045,-1021.5356280254,-833.659679414,977.8954175337,-1404.2488142132,860.7194737528,454.6848452055,-1344.1628635487,230.4454550307,-970.435964232,1135.9104449381,-1014.3971374006,-115.6125762229
1883,1070.75,301.7008306699,857.1906809281,-101.793603069,1015.9582875551,-677.8038449125,-720.2465071119,809.2153763715,-1056.9633150918,1027.3666196997,641.6616702204,-1065.900382247,338.133583733,-828.9074196325,792.3070941832,-701.196147411,-171.2720439832
1884,1708.25,-573.4879538021,984.4940998852,194.5259750676,1516.5553251743,-907.174977415,-1274.8366678538,1386.0380296645,-1659.6345526544,1609.1083336258,1396.0262998207,-1697.1380932393,786.2429701978,-1447.4638589105,1137.0617981427,-998.5072071967,-404.6371388485
1885,1172.75,-967.6272463313,346.8124200234,372.7522274659,943.9456626529,-493.4063090247,-951.9684178744,1009.1342240437,-1114.0814239489,662.6009920438,1120.2962589501,-1111.9345032057,695.9232346019,-1063.9044960496,684.9077995393,-597.4869708736,-366.2856034734
1886,1313.25,-1312.7509423355,-18.1023130839,667.0488322352,922.1856374512,-398.923686463,-1140.3129924352,1185.4323397513,-1211.545676168,-36.2011864088,1313.1252296567,-1131.2256264396,934.9862098335,-1251.1936120676,651.3922334382,-565.1333739673,-506.7372465673
1887,1352.75,-1072.3260402192,-435.5132096696,914.2606919982,787.652229134,-246.2341606226,-1238.2848447753,1268.3325535888,-1203.2101053974,-824.651093474,1280.7266713485,-997.0255511104,1099.789310932,-1330.1508563477,544.5945332995,-470.3882396563,-618.2378221765
1888,1000,-283.293660027,-598.6260685825,814.2611710614,447.9809881108,-57.4137566102,-952.4340321149,964.9793013676,-850.8763094924,-959.0332122448,801.0286074876,-580.4987039621,894.0430830174,-998.350469801,304.7448350166,-262.3260336531,-525.3660685128
1889,1292.25,431.8906209939,-1055.4668913517,1185.1454243505,391.1412610239,88.0046835271,-1265.1905463441,1272.3510931761,-1042.9195455686,-1217.941112697,745.5868183923,-515.1120127128,1231.6324843169,-1289.2498742204,263.064524293,-225.9043120299,-763.0392414358
1890,1097.5,904.5503060932,-1048.1531879781,1075.4757891192,164.5571727304,211.3177437207,-1091.9800658799,1093.4436352934,-832.1982176956,-621.5263419572,325.3938298913,-218.7648898213,1085.0931696877,-1076.9638161001,109.9353706542,-94.2722994121,-715.5084740688
1891,1004.75,1004.4110156239,-1004.6652503317,1004.7123331866,-6.5250375185,315.4451909184,-1004.7405832525,1004.7430815704,-708.1548316058,26.0973982124,-13.0497998439,8.7000024602,1004.7288123595,-953.9480562517,-4.3500419997,3.7286105187,-712.7687542067
