Year,Mean_orissa,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2371.5,2370.2593815126,-2371.1898250938,-1207.8255563238,19.1778490708,-1927.5616524109,1174.6603643561,-517.018670387,-1683.6704723715,76.6988549562,-38.3544439597,2040.8747329249,-2371.4224550057,1381.4913413247,2060.1420529689,-2314.4554315154,1670.1095743886
1872,3383.5,2672.2175526325,-3200.7436900924,-2290.7187881785,556.0377570689,-2975.3642971927,1359.6737164111,-438.8322061771,-2581.6105439282,2075.4097430153,-1096.95582424,2490.1163995858,-3337.4982041514,1610.9871349551,3098.2833367691,-3354.9215407848,2187.0892184542
1873,2200.75,613.3671168386,-1759.7113747548,-1794.0176653862,696.6404217774,-2051.3024679016,668.9978271271,-88.7757815932,-1785.5576118858,2113.54709966,-1321.6340038221,1274.6768919151,-2087.5805817371,797.1566644524,2096.6026017821,-2198.9587133693,1286.5009044446
1874,2964.25,-1004.0370516708,-1704.4883736894,-2720.4447463292,1366.4275320688,-2875.6943173839,601.1238321651,146.2691821489,-2533.4966819038,2789.0298781785,-2425.1798791961,1177.2673632908,-2630.5234958283,719.1385509524,2902.6588157934,-2960.6390169782,1538.8868136684
1875,3301.25,-2729.76406518,-971.2409439281,-3236.0457002631,1961.1147845495,-3277.7267591656,328.0668335161,457.6549824096,-2947.2344447799,1856.5127823293,-3155.1454152444,652.8857390914,-2655.6129921962,393.3940197183,3284.9084789757,-3269.3735607262,1487.2997982932
1876,2539.25,-2538.0492019338,39.0456559013,-2539.1165686442,1809.2729540132,-2539.2019644427,-13.0156745949,575.9074216115,-2349.6794367507,-78.0820790133,-2538.949782736,-26.0310072166,-1781.6626898424,-15.6187794201,2539.2166419419,-2473.0792959856,962.7030211914
1877,2334.75,-1846.2152558558,755.1842470188,-2278.6878372358,1899.2398457313,-2314.5156250867,-255.8233125751,731.1253391585,-2223.2080190933,-1429.1769629915,-2209.2429281441,-508.5659278145,-1357.919574528,-306.7164549376,2320.6921371098,-2217.321199317,713.0243097815
1878,2307,-646.507710968,1383.9717682809,-2098.0230498011,2063.3797359459,-2231.0249484503,-490.9734331453,915.8275420097,-2245.2690318564,-2214.5601774752,-1845.7711517416,-959.4520741045,-1031.8493423403,-587.176872324,2254.1504137802,-2117.4297894609,530.1093986966
1879,2695.25,908.8826003073,2203.8646046182,-2164.6594390764,2569.468684193,-2500.022300468,-845.5986664279,1287.2866854554,-2663.6190637525,-2537.3815206545,-1551.5648123784,-1605.8088539167,-813.7587132875,-1007.1052872778,2559.1669460657,-2367.9665436719,411.7111192503
1880,3643.75,3009.7058473582,3481.6325009837,-2411.4176655715,3602.9926788684,-3182.6369697039,-1498.3842870862,2020.1202299609,-3633.5463830896,-2053.9193691278,-1074.7786705152,-2731.6622969668,-543.4683233827,-1774.1860053484,3321.4091272701,-3032.4953947208,272.4972374843
1881,2977.25,2975.9841081779,2976.9335102226,-1463.4913324068,2977.1708765043,-2398.398244285,-1501.1392328981,1865.9661896786,-2977.2302190604,86.8110037535,43.4101164903,-2592.7226389396,21.7056350948,-1764.0021043951,2571.1084313879,-2319.9542541776,-10.8528896543
1882,2883,2282.5544778911,2728.7628661868,-864.4930649159,2844.1793494097,-2090.1967463429,-1705.7777542587,2000.9031147975,-2873.2784466832,1761.1456655993,930.3452155625,-2750.3346597664,471.5218217556,-1985.6400886308,2324.2227201962,-2075.5904521831,-236.5585927968
1883,3429.5,966.3161324142,2745.4918890897,-326.0342392951,3254.0078890219,-2170.934659003,-2306.8740566335,2591.8320179929,-3385.3426935394,3290.5475809105,2055.1750623591,-3413.9671827373,1083.0064211183,-2654.9035681809,2537.676562691,-2245.8577516189,-548.5664019057
1884,3266.25,-1096.5344821344,1882.3965190986,371.942318785,2899.7212532419,-1734.5589170096,-2437.5444263881,2650.166377516,-3173.2951017752,3076.6867230822,2669.2643944326,-3245.0035399051,1503.3315389485,-2767.615295868,2174.1127458999,-1909.1902037208,-773.6842117746
1885,2234.25,-1843.462950429,660.7253459282,710.1442457605,1798.3462773671,-940.0068607448,-1813.6307291715,1922.5394500701,-2122.4782958499,1262.3459957142,2134.3184110502,-2118.3881166381,1325.829449507,-2026.8843490078,1304.8435311197,-1138.2948323805,-697.8244379113
1886,2876.75,-2875.656785352,-39.6541626988,1461.2090067638,2020.1009195033,-873.8653836151,-2497.9214932327,2596.7580303671,-2653.9608025253,-79.3007904065,2876.4766833543,-2478.0150929832,2048.141312879,-2740.8118968326,1426.9123225153,-1237.9573071087,-1110.0372161146
1887,2734.25,-2167.4422291402,-880.2823829526,1847.9521693558,1592.0444335683,-497.7015366346,-2502.8869612471,2563.6209829238,-2431.9920389451,-1666.8284992284,2588.6726306668,-2015.2408893909,2222.9524475445,-2688.5714130243,1100.7633359262,-950.7736420479,-1249.61505473
1888,2579.75,-730.8268194546,-1544.3056004256,2100.5902560457,1155.6789540789,-148.1131386151,-2457.0416943485,2489.405352703,-2195.048159413,-2474.0659292884,2066.4535501661,-1497.5415315462,2306.4076434141,-2575.4946244692,786.165488134,-676.7355853167,-1355.3131152459
1889,3059.75,1022.6173941468,-2499.1022022159,2806.1510637698,926.1323067656,208.3747962253,-2995.6794538026,3012.6339774389,-2469.3929808888,-2883.8036909069,1765.3776495072,-1219.6664584236,2916.221701597,-3052.6463939995,622.876129391,-534.8893161025,-1806.7009626491
1890,3445.75,2839.9582844836,-3290.8189954219,3376.6020048814,516.649547094,663.4606974265,-3428.4194186841,3433.0144932229,-2612.7990966968,-1951.3661893384,1021.6180312966,-686.8420219607,3406.7970746711,-3381.2738672681,345.156996293,-295.9806612294,-2246.4358309999
1891,2976.5,2975.495783035,-2976.2489351702,2976.3884147597,-19.3299568787,934.4838126584,-2976.4721035592,2976.4795046473,-2097.8580306292,77.3116753214,-38.6590985174,25.7731349319,2976.4372331308,-2826.0028757734,-12.886688243,11.0457419348,-2111.5264462764
1892,2984.75,2368.9086742539,-2826.5997884366,2914.1117683983,-485.818301407,1284.6869916575,-2967.0378884695,2971.7336011181,-1931.1507433879,1815.7654737176,-958.6794034037,645.5115520132,2944.9470522436,-2694.1254417651,-324.6825078235,278.4456257251,-2275.8271834242
1893,3307.75,942.1156961463,-2651.1783471155,3010.3083783067,-1042.0592317207,1786.5122337966,-3232.5344237026,3252.4337367435,-1935.7606565348,3170.7456658608,-1977.99480138,1370.8586834523,3139.3188146612,-2783.8074827464,-701.3781163381,602.3992451797,-2682.1709011754
1894,2946.5,-980.3432814297,-1701.9519339963,2369.2409277069,-1354.079184627,1889.5075021985,-2798.4666018633,2837.4964761472,-1531.6768478528,2778.6308320026,-2405.2488154797,1751.7304805474,2616.9317552737,-2260.8900126135,-922.1967947547,794.0251871649,-2517.1071259984
1895,3520.5,-2898.38765948,-1046.4574751993,2334.0518357751,-2086.8477074958,2578.2091862644,-3210.2141468947,3291.6289530461,-1588.5800099084,1998.3165978829,-3361.3757603993,2635.5497107653,2835.3107229578,-2397.239587914,-1445.1454532596,1248.6388931428,-3141.7087392245
1896,3844.75,-3843.6070248158,46.8745871415,1895.2480705836,-2735.1712589354,3121.452205678,-3321.8110709277,3458.1680138589,-1460.4884225334,-93.7422065372,-3844.4642455849,3345.1662609577,2702.0253046176,-2244.6912237918,-1935.890950328,1680.2311003024,-3556.5539684006
1897,2776.5,-2206.3140660716,889.6969274849,836.7755576405,-2256.0137155126,2439.4753088208,-2239.6718047282,2378.573113324,-850.0382841023,-1685.5653330129,-2630.093463591,2647.406073147,1618.4419561477,-1325.8629143519,-1640.9821623362,1432.2507443085,-2643.1774752295
1898,2505.5,-717.4424913434,1496.6592945522,242.1638190584,-2239.1304241268,2333.9092797954,-1855.2993961422,2021.9843610938,-577.6629520535,-2400.5846207987,-2009.363383271,2493.7696234294,1124.1998015254,-911.2616110014,-1683.8629399908,1479.5639538364,-2437.9983108741
1899,2105.75,697.4500160319,1717.9695040598,-236.4588388411,-2006.4642216688,2042.0254138785,-1402.9005422001,1581.1343099428,-323.319522857,-1986.8936905726,-1217.6879097784,2092.4316667538,638.9713527718,-514.1160098404,-1570.3671962935,1390.7542401236,-2080.7805142877
