Year,Mean_pen,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1551.5,1550.6883535386,-1551.2970751141,-790.1924312192,12.5466720781,-1261.0634213432,768.4948578108,-338.2477196312,-1101.5031574465,50.1784834343,-25.0925236363,1335.1959300582,-1551.4492679491,903.8093257707,1347.801136488,-1514.1798869898,1092.6312480134
1872,1853,1463.4606546559,-1752.9120903624,-1254.529899363,304.5183874239,-1629.4813189591,744.6358494192,-240.3298590354,-1413.8390240576,1136.6142319513,-600.7563594847,1363.7315467512,-1827.8067599505,882.2695909773,1696.7988837101,-1837.3487853035,1197.7763622863
1873,1393.25,388.3102285745,-1114.0374294568,-1135.7560433031,441.0288618159,-1298.6378113843,423.5288981687,-56.2021391366,-1130.4001557469,1338.0436199483,-836.6995687039,806.9719775807,-1321.6047463388,504.6636477329,1327.3164034683,-1392.1159729191,814.4575190809
1874,2039.75,-690.8946870694,-1172.886956307,-1871.9835274775,940.2616373576,-1978.8133537603,413.6433622868,100.6502704861,-1743.3414377712,1919.1781037411,-1668.8068343056,810.0973616505,-1810.107211138,494.8512639977,1997.3680760781,-2037.2652221915,1058.9337532867
1875,1552.25,-1283.5369239457,-456.678153794,-1521.5908938231,922.1175083126,-1541.1893561272,154.2572487165,215.1896846483,-1385.7916446527,872.9335755761,-1483.5515246689,306.9873195016,-1248.6710388903,184.9741361932,1544.5662056767,-1537.2616765278,699.3293788415
1876,1309,-1308.380980735,20.1282912572,-1308.9312152625,932.6920534816,-1308.9752373557,-6.70966547,296.8840464269,-1211.2751334869,-40.251822951,-1308.8452360348,-13.4191546506,-918.4587815314,-8.0515830505,1308.9828037027,-1274.8885688472,496.2797104419
1877,1488.75,-1177.2365187516,481.5421555838,-1453.0020420537,1211.0475726877,-1475.8475797614,-163.1253695668,466.2010273786,-1417.6254153229,-911.3126474584,-1408.7205950421,-324.2863368814,-865.8754755664,-195.5773090431,1479.7860238236,-1413.8716931077,454.6589318716
1878,2344,-656.8764952358,1406.1681078675,-2131.6714472188,2096.4725188804,-2266.8064495742,-498.8477361476,930.515716719,-2281.2789816521,-2250.0776142184,-1875.373896698,-974.8399053754,-1048.3982914805,-596.5941000119,2290.302804465,-2151.3894349789,538.6113699804
1879,1527.25,515.0138025487,1248.8089110113,-1226.5934990556,1455.9766433295,-1416.625195581,-479.1542763387,729.4345943277,-1509.3264873819,-1437.7946117872,-879.1864798089,-909.9235960094,-461.1123253384,-570.6711993303,1450.1392146847,-1341.7964581478,233.2940569057
1880,1356.5,1120.4572163132,1296.1466861295,-897.725712068,1341.3268113578,-1184.8362399735,-557.8204556933,752.0529926427,-1352.7013841951,-764.6357802324,-400.1200045431,-1016.9468009154,-202.3230958953,-660.4962789036,1236.4985196959,-1128.9413387139,101.4456267986
