Year,Mean_shwbl,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,4596.5,4594.0954025396,-4595.8988113194,-2341.0373896868,37.1709817642,-3736.0477062224,2276.7557937013,-1002.0983843279,-3263.3317842107,148.6596191465,-74.339532642,3955.6739236303,-4596.3497003725,2677.6407127974,3993.0183202495,-4485.9348053809,3237.0477160772
1872,4812.5,3800.8118729257,-4552.5577090497,-3258.1894984805,790.8768156921,-4231.9907433841,1933.9233811817,-624.170235622,-3671.937562481,2951.9460287457,-1560.2482353051,3541.8014402266,-4747.0696342481,2291.3774455362,4406.8238682433,-4771.8516078105,3110.7926300609
1873,3891.75,1084.6627181446,-3111.8285778493,-3172.4949445719,1231.921100285,-3627.470807432,1183.0386430634,-156.9888210908,-3157.5344023885,3737.5426218797,-2337.1437620695,2254.106006639,-3691.6240958652,1409.671452406,3707.5784053097,-3888.5823345472,2275.0152879119
1874,5653.25,-1914.8426962496,-3250.7038537775,-5188.2784050555,2605.9733307473,-5484.3616090919,1146.4293848991,278.9563140705,-4831.7416267091,5319.0800906848,-4625.1659448647,2245.2177520533,-5016.7856802871,1371.5003839662,5535.7867758739,-5646.3633373473,2934.8779216905
1875,4425.5,-3659.3929179717,-1301.9997871575,-4338.0901920528,2628.9779565389,-4393.9658531426,439.7909191141,613.5106776686,-3950.9234488068,2488.7534473906,-4229.6390867593,875.2278192652,-3559.9894879104,527.365462859,4403.5933278931,-4382.7679494113,1993.8039401277
1876,4650.5,-4648.3008028328,71.5100217658,-4650.255627638,3313.5862450087,-4650.4120254566,-23.8375089902,1054.743512535,-4303.3116946378,-143.003134174,-4649.9501682047,-47.6743916751,-3263.0195290389,-28.6049556733,4650.4389065082,-4529.3119094147,1763.1388796103
1877,4167.75,-3295.6691862481,1348.0754451281,-4067.673726797,3390.3231039926,-4131.6297232916,-456.6688557597,1305.1280146816,-3968.6369939291,-2551.2163133131,-3943.7079831984,-907.8383748362,-2424.0151222783,-547.517937709,4142.6553825631,-3958.1284627704,1272.8159619196
1878,6372.75,-1785.8829714224,3823.0195432647,-5795.481747126,5699.7846607061,-6162.8800347798,-1356.2422826514,2529.8396048299,-6202.2272313668,-6117.3985136563,-5098.6727816478,-2650.3459927393,-2850.3328549627,-1621.9902094073,6226.7607496393,-5849.0900263489,1464.3496621343
1879,6249.25,2107.3498154049,5109.9159188982,-5019.014191503,5957.611418122,-5796.5919158517,-1960.6186684629,2984.7236134243,-6175.9100024692,-5883.2136046563,-3597.4831291182,-3723.254236282,-1886.7940410025,-2335.090517214,5933.7256424084,-5490.4053141792,954.6000229942
1880,4802.25,3966.616783664,4588.5885908333,-3178.1078516613,4748.5342276764,-4194.5299177388,-1974.7831060473,2662.4006516171,-4788.8022279772,-2706.9459459057,-1416.4956076793,-3600.1715994809,-716.2595556678,-2338.2736862255,4377.4235283521,-3996.6520780234,359.1354672271
1881,4562.75,4560.8099721517,4562.2649672578,-2242.8566888704,4562.6287402032,-3675.6374470104,-2300.5535426672,2859.6648692437,-4562.7196849501,133.0411982119,66.5276711785,-3973.4470470474,33.2647196335,-2703.4009914616,3940.322443636,-3555.4190186409,-16.6324703234
1882,5170.25,4093.4364513758,4893.6476617767,-1550.3452198687,5100.630690699,-3748.4702489696,-3059.0695227041,3588.3348349919,-5152.8157783433,3158.3639880558,1668.4416756025,-4932.3336020316,845.6072490225,-3560.9627708093,4168.1625109589,-3722.2759401317,-424.2341534539
1883,5185,1460.9561587892,4150.8603134364,-492.9253625149,4919.6766014225,-3282.1974652079,-3487.72182057,3918.5446896904,-5118.2393544253,4974.9203111302,3107.1825917282,-5161.5162100869,1637.3781290271,-4013.9014436559,3836.6680208639,-3395.4723551958,-829.3677777755
1884,3961.25,-1329.8575483673,2282.9370719569,451.0850395062,3516.7304445173,-2103.64225335,-2956.2105959525,3214.0747226745,-3848.5159500673,3731.3510238988,3237.2364584604,-3935.4826704781,1823.2137952268,-3356.5146852682,2636.7253317094,-2315.4319768815,-938.3104734458
1885,5645.75,-4658.2660635043,1669.5938779342,1794.4710195825,4544.26026427,-2375.3132971019,-4582.8827074947,4858.0853083734,-5363.3128964057,3189.8354728895,5393.2318089681,-5352.9773792142,3350.2524849743,-5121.755539179,3297.2229454264,-2876.3692737663,-1763.339966583
1886,5647,-5644.854042542,-77.8402908699,2868.3226770471,3965.4157964492,-1715.3794459979,-4903.3675753142,5097.381627699,-5209.6694714036,-155.6657907102,5646.4634851487,-4864.2917285394,4020.4585013741,-5380.1563505393,2800.9990041693,-2430.0842663572,-2178.9798068651
1887,4801.75,-3806.3511836057,-1545.9068967149,3245.2790817242,2795.8670051702,-874.0379824578,-4395.4420649787,4502.1000474552,-4270.9400285286,-2927.1989562658,4546.0944698927,-3539.0629754532,3903.8353899595,-4721.531601898,1933.1042692818,-1669.7000404876,-2194.5100444546
1888,4430.25,-1255.0617373346,-2652.0631403375,3607.3805530949,1984.6677725781,-254.3572952222,-4219.5208707772,4275.0995498836,-3769.5947701288,-4248.7568885474,3548.7569883219,-2571.7543832281,3960.8343685378,-4422.942168836,1350.0958053322,-1162.1699105918,-2327.5030250288
1889,5630,1881.6360581899,-4598.397058085,5163.372984402,1704.1016053894,383.4137111687,-5512.1089386089,5543.3055945685,-4543.7315082618,-5306.2553410592,3248.3294931696,-2244.210200482,5365.9051164281,-5616.9292256613,1146.1042923348,-984.2068305114,-3324.3651996778
1890,6846,5642.4158501269,-6538.1838040074,6708.617086387,1026.4769061615,1318.1606136782,-6811.5676820173,6820.6971546409,-5191.0970372158,-3876.9652273702,2029.745931149,-1364.6145200154,6768.6085099611,-6717.8991207481,685.7563075156,-588.0529947839,-4463.2082127332
1891,3011.5,3010.4839746716,-3011.2459829549,3011.3871026537,-19.5572535327,945.472199503,-3011.4717755312,3011.479263647,-2122.5262755719,78.2207660777,-39.1136822393,26.0761954804,3011.4364950691,-2859.2332136373,-13.0382199374,11.175626352,-2136.3554150719
1892,5798.5,4602.099655804,-5491.260197085,5661.2704879999,-943.8034745652,2495.7726848568,-5764.0905256019,5773.2129277439,-3751.6634845581,3527.5035092894,-1862.4348842068,1254.0409529604,5721.1744643385,-5233.9011220621,-630.7635552776,540.938758947,-4421.2694272837
1893,5450,1552.2728573795,-4368.2025521213,4959.9215967868,-1716.9443920726,2943.5391653515,-5326.0713805998,5358.8583977785,-3189.4476844122,5224.2654006322,-3259.0345907402,2258.6893885012,5172.4850849984,-4586.7283745652,-1155.6226238509,992.5405143162,-4419.2672999489
1894,5297,-1762.3887194072,-3059.6434394632,4259.2462901962,-2434.263512971,3396.816982571,-5030.8764941693,5101.0415184632,-2753.5354702448,4995.2172126652,-4323.9786104177,3149.1316326012,4704.5265595401,-4064.4610204696,-1657.8572617736,1427.4398155141,-4525.0692164987
1895,4786.5,-3940.6710785686,-1422.7719656416,3173.3955722021,-2837.2948592327,3505.3538616828,-4364.6328686583,4475.3250912527,-2159.846106356,2716.9272534488,-4570.1534092177,3583.3144981048,3854.9111704126,-3259.3061461583,-1964.8313341932,1697.6594409965,-4271.4923676461
1896,3510.75,-3509.7063170225,42.8025116866,1730.6046332795,-2497.5622595246,2850.2863205889,-3033.2396689667,3157.751051344,-1333.6132985003,-85.5986609273,-3510.489069559,3054.565953744,2467.2957508775,-2049.691062859,-1767.7167966355,1534.266554493,-3247.5900499544
1897,4397,-3494.0259133862,1408.9671853597,1325.1583385361,-3572.7326875955,3863.2713606645,-3546.8528454493,3766.8236914409,-1346.1618351154,-2669.3429747011,-4165.1435114026,4192.5605991814,2563.0431410701,-2099.7007867478,-2598.7389043012,2268.1817117682,-4185.863986524
1898,5133,-1469.8193207206,3066.1952340597,496.1192908509,-4587.2905476124,4781.4633139852,-3800.9386551178,4142.4249552961,-1183.4539744125,-4918.0606100816,-4116.5684479466,5108.9680610908,2303.1401242186,-1866.8951703333,-3449.7180087699,3031.1721313281,-4994.7097703918
1899,6094.25,2018.4897353448,4971.9746646642,-684.3354047761,-5806.9070796178,5909.8247078377,-4060.1337429907,4575.9599992255,-935.7188660435,-5750.2680155631,-3524.1099580515,6055.7054185512,1849.2466658575,-1487.9028816192,-4544.7989011098,4024.9811363519,-6021.9858241472
1900,4405.25,3622.8052224836,4205.0915726561,-1393.5308436462,-4354.9229162491,4373.0185314795,-2575.5946705108,3033.7750344063,-332.9439785412,-2506.2940534673,-1312.7956535871,4179.0309104273,663.9834004164,-531.9177434873,-3573.869003718,3194.1253267699,-4392.650210255
1901,4454.25,4453.0931506977,4453.9607782846,-2256.3666431363,-4454.1776939843,4454.2037241049,-2212.4558687475,2765.8259987118,12.6899383476,101.5108551305,50.7587234119,3840.4625547246,-25.3797736968,20.3038585088,-3865.9257741639,3491.4967574594,-4454.2319234594
1902,6296.5,5009.5234942224,5966.0865285114,-4248.1144596373,-6213.3475710269,6243.2401523306,-2539.4546220492,3451.8344672166,511.6489367863,3814.5231170926,2012.8894118442,4647.5193154865,-1019.9138255823,817.2298638245,-5761.6909386528,5265.9995310421,-6275.6774626717
1903,4615,1328.5321967761,3703.3364070876,-3753.5438189326,-4381.1598075572,4464.882047455,-1409.8972082436,2174.0307963038,734.5653436296,4419.6410716403,2753.8199752234,2684.9830165855,-1450.4012343642,1167.498737607,-4394.3617127163,4070.8494318413,-4556.1649175527
1904,3691.25,-1217.0382983842,2136.9293324288,-3382.9632173445,-3279.7307024227,3426.0704068012,-754.3088182161,1440.158599567,871.4988832989,3484.8449524715,3009.7939448915,1476.7824594686,-1693.7216660615,1373.8151732096,-3613.3564409371,3398.7159002472,-3586.8950721911
1905,6113.75,-5022.3014239717,1826.5874919769,-5989.1131070382,-4926.7249944346,5344.7951944788,-617.2514902151,1871.370316273,1904.8850526705,3486.3200468793,5834.5108789558,1228.1951203305,-3620.1270546368,2968.3502811456,-6082.5109667248,5820.3017277348,-5809.4192479638
1906,5403,-5401.7859998745,-57.2679783039,-5402.8651066068,-3800.1967128837,4357.6148123116,19.0896438342,1186.3227755674,2080.85873623,-114.5295226558,5402.696491444,-38.1790493679,-3840.6918573856,3194.3077728239,-5402.9662765465,5271.1523666244,-4986.2246158647
1907,5323.75,-4240.7305304148,-1697.8994229937,-5199.5832380823,-3106.6961558332,3865.5937673549,574.9055569218,698.884584548,2429.304468658,-3218.465260168,5045.7359831741,-1143.0871413647,-4323.2803584583,3660.5325962608,-5292.6172791087,5277.6769889774,-4737.1715042901
