Year,Mean_southkar,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1023.25,1022.7147004566,-1023.1161663619,-521.1501161747,8.2748193387,-831.7003840731,506.8400665517,-223.0821650742,-726.466713411,33.0938660484,-16.5490975255,880.592481748,-1023.2165410435,596.0830761166,888.9059058404,-998.6365255316,720.6154847114
1872,1030.75,814.0647975103,-975.0750875019,-697.8449507655,169.3914343428,-906.4154719466,414.2112260058,-133.6859159205,-786.4622633823,632.2531676113,-334.1768038526,758.5894721067,-1016.736005299,490.7713874257,943.8615485074,-1022.0438534547,666.275221493
1873,1000.5,278.8475748709,-799.9960151958,-815.592263646,316.7050968935,-932.5585001184,304.1382828766,-40.3590455454,-811.7461732099,960.8560141814,-600.8382691464,579.4907328688,-949.0511743851,362.4015643688,953.1527447838,-999.6856493132,584.8661387694
1874,1577,-534.154147081,-906.7987400888,-1447.2940423248,726.9482054727,-1529.8878092315,319.8017317447,77.8161424471,-1347.8364737665,1483.7817720798,-1290.2112404461,626.3137832199,-1399.4553606886,382.5863185804,1544.2330952201,-1575.078933887,818.6976486987
1875,890.75,-736.5505008888,-262.0622100125,-873.1564430168,529.1519861681,-884.4029112387,88.5196613266,123.485399646,-795.2288017229,500.9280608436,-851.3277633105,176.1629601199,-716.5429073226,106.1463757862,886.3406975078,-882.1490342194,401.3062613645
1876,905.75,-905.3216755544,13.927578156,-905.7024050603,645.3673242483,-905.7328657257,-4.6426886932,205.4260695578,-838.1302155506,-27.8518629778,-905.6429125581,-9.2852554047,-635.5187481834,-5.5712156975,905.7381011869,-882.1469222562,343.3959875727
1877,1152.25,-911.1474584259,372.6998816265,-1124.5821010622,937.3162489534,-1142.2638950664,-126.2543792332,360.8262863456,-1097.2016018847,-705.3299734905,-1090.3095251971,-250.9883672017,-670.162899561,-151.371253968,1145.312138338,-1094.2963280492,351.8930339204
1878,1425.5,-399.478431723,855.1589751558,-1296.372716728,1274.9665425188,-1378.5548608652,-303.3734845898,565.891704003,-1387.356309021,-1368.3812453363,-1140.5057550098,-592.8473912596,-637.5818107959,-362.8177856514,1392.8441330055,-1308.3641807007,327.5556774348
1879,1240.75,418.4012935094,1014.5422532901,-996.4942766104,1182.8469603608,-1150.8775324388,-389.2687303109,592.5984435502,-1226.1887963458,-1168.0757338844,-714.25806176,-739.2291384833,-374.6113063766,-463.6178036138,1178.1045870814,-1090.0860732997,189.5299401576
1880,1178.25,973.2242647409,1125.8273740745,-779.7606489083,1165.0706343401,-1029.1436046802,-484.5204216149,653.2299584086,-1174.9505388337,-664.1593129811,-347.5424956527,-883.3155681375,-175.7369611048,-573.7041950742,1074.0172361457,-980.5935365571,88.1152302067
1881,965,964.5896933048,964.8974178738,-474.3535597523,964.9743541277,-777.3798994828,-486.556170878,604.8055665597,-964.9935885106,28.1375828775,14.0702871486,-840.365218432,7.0353305455,-571.7564970161,833.3595218035,-751.9542716538,-3.5176886444
1882,1837,1454.4060270156,1738.7226448787,-550.8407076832,1812.2641223953,-1331.8388564106,-1086.8934216348,1274.9424286795,-1830.805586735,1122.1729405848,592.800610818,-1752.4678355848,300.4459197243,-1265.2170804075,1480.9563430456,-1322.5319669304,-150.7312296107
1883,1341.5,377.9889463868,1073.940040593,-127.5331482765,1272.8536472147,-849.1934232548,-902.3681431619,1013.8336935814,-1324.2272119502,1287.1466918768,803.9123330383,-1335.4241071999,423.6340906634,-1038.5050697521,992.6499807115,-878.5007067493,-214.5799178179
1884,874.75,-293.6681326436,504.1335951264,99.6116474113,776.5881871484,-464.5405013867,-652.8104055057,709.7537049314,-849.8553050985,823.9821541573,714.8684359831,-869.0598841277,402.6143937834,-741.2082602558,582.2595099811,-511.3093396723,-207.2040610026
1885,1096.5,-904.7139421038,324.2633285489,348.5165784833,882.5720904702,-461.3259585125,-890.0732212315,943.5222141667,-1041.6459444554,619.5199213609,1047.4567025698,-1039.6386124622,650.6756143602,-994.7314260656,640.3763821742,-558.63949142,-342.4704022244
1886,1515,-1514.4242738536,-20.8833080694,769.5252090891,1063.8577884931,-460.2089358397,-1315.4952853907,1367.5461600786,-1397.67119695,-41.7626479416,1514.8560616257,-1305.0118591708,1078.6248679975,-1443.4101064401,751.4633418304,-651.952835759,-584.585515743
1887,1160.75,-920.1274819327,-373.6994700603,784.4968384675,675.8583071279,-211.2853830661,-1062.5312390116,1088.3141833881,-1032.4347660987,-707.6058079837,1098.9491656017,-855.5146246175,943.6928055179,-1141.3584228465,467.2985433579,-403.6245789548,-530.4894120062
1888,1243.75,-352.3464896586,-744.5411727994,1012.7373315077,557.1763539629,-71.4083597839,-1184.589827443,1200.1930060759,-1058.2774099312,-1192.7975577294,996.2793305627,-721.9952630529,1111.9660845029,-1241.698396815,379.0263885519,-326.2680043561,-653.4240477128
1889,1882.75,629.2451667064,-1537.7676840337,1726.7034611693,569.8751860652,128.2188569632,-1843.3255957666,1853.7581897289,-1519.4867668171,-1774.4853007779,1086.2863860151,-750.4949831186,1794.4330120702,-1878.378951974,383.2731538887,-329.1323996706,-1111.7137796969
1890,1049.75,865.1951561015,-1002.5501677267,1028.6840178841,157.3976237574,202.1237371032,-1044.4702270227,1045.8701194981,-795.9909603882,-594.4849908606,311.236604035,-209.2468729749,1037.8829657218,-1030.1073038278,105.1523055528,-90.1707027862,-684.3781509373
1891,953,952.6784751327,-952.919615393,952.964273229,-6.18896318,299.1980760838,-952.9910682654,952.9934379065,-671.6810694405,24.7532425941,-12.3776653409,8.2519057921,952.9799036364,-904.8146281243,-4.1259915658,3.5365671305,-676.0573503448
1892,1414.25,1122.4488123171,-1339.3144319613,1380.7798202387,-230.1929919641,608.7171716062,-1405.8575538213,1408.0825011748,-915.0280388094,860.3555812732,-454.246535309,305.859690907,1395.3903571942,-1276.5447377557,-153.8427796933,131.934576156,-1078.3444490016
1893,1181.75,336.5868714144,-947.1785992604,1075.4839168813,-372.2934009783,638.2619098448,-1154.8779548668,1161.9873232247,-691.5834497347,1132.8028692105,-706.6723169921,489.7626027268,1121.5750915958,-994.5626158977,-250.5792726121,215.2173858336,-958.2512168284
1894,890,-296.1159071687,-514.0801701194,715.6370017509,-409.0040639124,570.7319453442,-845.2860260167,857.075127701,-462.6480212418,839.2945665984,-726.5133024866,529.1159435558,790.4528295244,-682.9092520706,-278.5525699412,239.8379150099,-760.3004724719
1895,1371.75,-1129.3461928396,-407.7483430208,909.4547949793,-813.1326069471,1004.5898171448,-1250.8482476929,1282.5712303198,-618.9844137457,778.6367826007,-1309.747819721,1026.932343628,1104.7684943097,-934.0756724105,-563.0956612722,486.527595986,-1224.1553651559
1896,1644.75,-1644.2610453387,20.0525332469,810.770339838,-1170.0820412599,1335.3296092825,-1421.0413574116,1479.3736499888,-624.7840127347,-40.1020857538,-1644.6277567919,1431.0325008674,1155.902495551,-960.2590260307,-828.1570038499,718.7879841921,-1521.4622900128
1897,1940.5,-1541.9961985276,621.8105124381,584.823687953,-1576.7313578074,1704.9529395883,-1565.3099719341,1662.3883041258,-594.0930273008,-1178.0441306362,-1838.1762528717,1850.2760615673,1131.1315022167,-926.6475725913,-1146.8848860124,1001.0021859646,-1847.3206881624
1898,1453.75,-416.2769993177,868.3969065876,140.509140673,-1299.1961101873,1354.1890303343,-1076.4883245427,1173.2028596847,-335.1736246449,-1392.8756306071,-1165.8798716545,1446.9437597527,652.2871528507,-528.7354088977,-977.0168625072,858.4777880222,-1414.5839331204
1899,1036.25,343.2186057761,845.4212981513,-116.3625652376,-987.3909769461,1004.8908156864,-690.3743021986,778.0840216921,-159.1071378656,-977.7602217053,-599.2302488462,1029.6959822741,314.4409660737,-252.9990336921,-772.7854717603,684.3970468137,-1023.9623924638
1900,1447.75,1190.6058137111,1381.9695418677,-457.9727095826,-1431.2104084898,1437.15738697,-846.4484840207,997.0257774387,-109.4193621095,-823.6733933165,-431.439738376,1373.4049147202,218.2128069809,-174.8104904679,-1174.5233187975,1049.7236120155,-1443.6091803863
1901,1127,1126.7072977126,1126.9268220524,-570.8986264387,-1126.9817053646,1126.988291422,-559.7884636198,699.8003930063,3.210767361,25.6839498753,12.8428088422,971.701475933,-6.4215086617,5.1372169365,-978.1440977679,883.4072729768,-1126.9954263319
1902,1012.5,805.5495176527,959.3683173379,-683.1121877841,-999.1287883213,1003.9356236377,-408.3534987413,555.0674816258,82.2750017464,613.389129843,323.6799062165,747.3379348734,-164.0058363221,131.4135213408,-926.50076636,846.7917930882,-1009.151660598
1903,1718,494.5651818118,1378.6201402766,-1397.3105700815,-1630.9496315023,1662.1164371674,-524.8544753548,809.3141729252,273.4524941183,1645.2748344698,1025.1490178621,999.5234718297,-539.9326805282,434.6181649423,-1635.864230216,1515.432139524,-1696.09779596
1904,1028.25,-339.0232659163,595.2719501713,-942.3723476423,-913.6154675966,954.3804661817,-210.1234114001,401.176587878,242.7683648499,970.7529488327,838.4207582349,411.378683088,-471.8101735531,382.6956862453,-1006.5516452133,946.7604807123,-999.1804559378
1905,875.75,-719.4079692567,261.6453070699,-857.8966760971,-705.7173443265,765.602844664,-88.41676427,268.0601193173,272.8608603355,499.389864004,835.7510369651,175.9299736871,-518.5567398239,425.1944810817,-871.2752368202,833.7156799123,-832.1568442289
1906,1660.75,-1660.3768460655,-17.6027753041,-1660.7085370715,-1168.0874867521,1339.4241716725,5.8676894314,364.6465943964,639.6050612982,-35.2035729688,1660.6567088961,-11.735305615,-1180.5347033413,981.8520514006,-1660.7396342355,1620.2232635335,-1532.6434445303
1907,1443.75,-1150.0454948648,-460.4540581258,-1410.0771636499,-842.5062362027,1048.3119984257,155.9088796066,189.5308042153,658.8040998591,-872.8169465823,1368.3552619315,-309.9942822907,-1172.4322174265,992.7013732522,-1435.3071043368,1431.2554407769,-1284.6755312175
1908,1003,-290.2656932777,-597.8597283822,-913.4684683193,-450.7525332334,636.1527121487,211.8963499871,42.0559720779,526.2623913823,-960.0806358354,805.3401425353,-414.2274223012,-896.0084563126,775.4474365332,-980.361635756,1002.1179048458,-853.8482859481
1909,1358,445.7023532549,-1106.6679257393,-1093.2339323358,-413.1034718119,723.004633118,424.0001886131,-64.8494426182,800.9898517708,-1282.7756671776,787.0515244505,-805.6075776639,-1293.6419603495,1149.5339492551,-1290.1115610892,1356.4507177897,-1096.6217476233
1910,1561.25,1281.1104995118,-1489.5696240631,-1036.9513360946,-236.5491354154,659.1132404585,639.7504548737,-213.974567731,1016.9044263924,-892.3325896439,467.6365015358,-1167.1475866709,-1543.2258645559,1415.2990139021,-1424.1562126357,1546.517522327,-1184.6547809736
1911,1032,1031.8016517615,-1031.950411749,-510.148046837,5.0584125491,315.0544118789,518.9177274213,-232.4587607154,731.520430935,20.2324349071,-10.1167035675,-897.091394624,-1031.9876028628,982.7332891256,-892.0473037726,1005.4784555458,-727.9435823775
1912,1550.75,1236.7698550714,-1470.1609461641,-469.7160565523,249.9734738288,284.7032752122,915.5362875936,-483.2700834816,1181.6242903394,935.535081163,-493.4089124388,-1477.9013460705,-1530.4701319797,1524.391553238,-1251.6464631034,1473.5248857456,-1004.2856162367
1913,1206.75,351.0696835913,-969.5099027792,-118.5486643047,378.344741817,71.2027265372,810.3045605975,-477.2882204376,977.9603978914,1154.5543035142,-718.5374805207,-1200.9128930491,-1145.9061125762,1204.6475560236,-894.2326775369,1108.3508095958,-706.9929438517
1914,1147.75,-374.9700700114,-665.942251492,127.0665516961,525.8302213405,-76.3401359585,855.3276264711,-546.5737329634,980.0131884428,1084.7707172927,-934.7999680027,-1140.6945927548,-1020.2120567926,1145.2083854661,-765.3396069036,1009.2508196353,-597.4146072689
1915,1394.5,-1143.0100853267,-418.7497379175,439.0204549991,824.8283883554,-266.3237651531,1130.6733114601,-771.2710953317,1243.956075905,798.848042397,-1330.142438611,-1323.590302961,-1124.4057896342,1368.8323133659,-816.2157268467,1161.796517255,-630.2408517537
1916,1491,-1490.7580973894,13.429013225,753.2398632817,1059.0334410958,-465.85010669,1293.4762533872,-932.6200323631,1378.7856723715,-26.8569370538,-1490.9395231209,-1286.744228028,-1049.5375984884,1416.3561268611,-741.6199713624,1163.3146071614,-567.4778142475
1917,1422.25,-1135.6523123325,451.4496435291,957.8886359491,1154.3113353878,-610.1151375079,1300.9904255948,-985.4593551199,1353.6089463459,-856.2061013529,-1348.6987365077,-1051.3060561129,-830.8792953825,1284.7391102802,-574.6468263296,1025.5071535131,-436.5064522689
1918,660,-193.0137212578,392.5626981578,536.1892646097,589.3604078932,-355.58019109,628.2853311364,-498.1035797942,642.0972937217,-631.1463407216,-530.5605790247,-384.8390215627,-297.0762690084,556.0240351859,-202.132487935,433.0044154466,-152.6796168296
1919,1377.25,447.8740577182,1121.082536768,1261.3453132044,1311.6456240662,-881.5074451528,1347.9624243856,-1116.1880570803,1360.7500685734,-1302.3925640616,-799.994692641,-553.014975708,-420.0039516101,1058.1881622094,-282.5152472781,806.8096328945,-212.5483789104
1920,1158.5,948.5131295619,1104.7566950685,1134.5103424517,1144.9853451545,-847.1604701538,1152.486980779,-995.9310164646,1155.1163950792,-665.1654629104,-348.7619456037,-234.538979426,-176.4392512497,790.2160386938,-117.8813349724,591.8138731424,-88.4780414526
1921,1075.5,1075.3549989989,1075.4637491388,1075.4838884559,1075.4909372465,-872.1692338588,1075.4959721064,-970.0840270285,1075.4977343093,17.6600149489,8.8303051092,5.8869068183,4.4151897594,629.3020558605,2.9434644328,464.3675597026,2.2075995303
1922,878.25,702.1149547734,833.0532760663,858.0656637579,866.8771834018,-770.9749416176,873.1893356241,-822.9559771618,875.4021786649,527.5961076273,278.1102330644,187.2067818745,140.8794214829,420.6194264388,94.1458796354,306.7026608193,70.6688622286
1923,1327.75,390.3155966238,1067.9797741337,1210.1018589103,1261.1364334611,-1236.0475439383,1298.0047776623,-1280.6949160033,1310.9908394089,1269.0838418057,788.8848233686,546.4188444425,415.276966249,484.8778522721,279.4703198301,350.3435380071,210.2928469682
1924,1547.75,-500.9880260049,900.0349563353,1247.449571774,1376.3282977124,-1500.3079735275,1470.7600309386,-1523.4838818331,1504.2842459596,1464.4251637758,1259.1533424784,916.1875508764,707.9904515006,380.2710179199,482.0736394924,272.9961983156,364.2237909003
1925,1120.5,-916.375123879,338.172976222,745.5470630858,904.003061349,-1112.0848548578,1022.4738955562,-1116.2039217893,1065.0013333892,644.8076320391,1068.2505736732,836.4686645202,662.041324293,137.0675949887,458.331084377,98.0257873323,348.2705986431
1926,1274,-1273.8599386908,-9.4455838331,631.5387805636,897.5083080943,-1273.9943974491,1101.7387182173,-1273.9971415546,1176.1168276392,-18.8906484437,1273.9649841915,1106.4514307661,904.1873903687,-3.77826261,639.7247820594,-2.6987609448,489.7195194639
