Year,Mean_telangana,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1186,1185.3795599721,-1185.8448798488,-604.0401053342,9.5909462357,-963.9840268856,587.4540131251,-258.5638385321,-842.0127262208,38.3575129572,-19.1812652482,1020.6525124389,-1185.9612193282,690.8913054232,1030.2882035931,-1157.4717022042,835.2308476596
1872,1359,1073.3097839597,-1285.5949977348,-920.0788630514,223.3353958495,-1195.0702171967,546.1198701353,-176.2591896541,-1036.917017644,833.5988889486,-440.5978912789,1000.167928783,-1340.5231445077,647.0611841005,1244.4412752089,-1347.5213163666,878.4555188058
1873,1313.5,366.0832479689,-1050.2696311441,-1070.7450657661,415.7842526433,-1224.3034381864,399.2859915626,-52.985113767,-1065.6957506359,1261.4536478034,-788.8066631922,760.7806872796,-1245.955739685,475.7765665151,1251.3404600435,-1312.4308849304,767.8377543964
1874,1767.25,-598.5947472599,-1016.195354104,-1621.8962563719,814.6475688786,-1714.4541730275,358.3827586721,87.2039173999,-1510.4400813341,1662.7858825035,-1445.8629135563,701.8725639793,-1568.2862943417,428.7417067288,1730.5300808673,-1765.0971755941,917.4657068248
1875,1276,-1055.1091093282,-375.4042997205,-1250.797217277,758.0105914684,-1266.907790896,126.8044769607,176.8929216371,-1139.165816445,717.5797986375,-1219.5276182815,252.3535639775,-1026.4482175062,152.0547577919,1269.6836710861,-1263.6791104844,574.8715009836
1876,1138.75,-1138.2114910711,17.5103832461,-1138.6901614822,811.3850847229,-1138.7284580128,-5.8369988953,258.2709762174,-1053.7353386236,-35.0166259629,-1138.6153648088,-11.6738444296,-799.0030079976,-7.0043851786,1138.7350402723,-1109.0751396293,431.7330177736
1877,927.5,-733.4252702886,300.0035931513,-905.2288120939,754.4897556123,-919.4617163585,-101.6280639955,290.4459801133,-883.1889657175,-567.7531355282,-877.6412103453,-202.0322938421,-539.4455103864,-121.8458130226,921.9153901571,-880.8503747153,283.2551867747
1878,2407.25,-674.6015115855,1444.1118505393,-2189.1920184801,2153.0432897077,-2327.9734751439,-512.3085379016,955.6245559181,-2342.8365309651,-2310.7932324348,-1925.9785890897,-1001.1447791019,-1076.6880491325,-612.6924689649,2352.1038507033,-2209.4420722496,553.1451452156
1879,1627.5,548.8197503015,1330.781799097,-1307.1081484452,1551.5481990629,-1509.6136885304,-510.6063740326,777.3153067725,-1608.3999726397,-1532.1726833745,-936.8970344665,-969.6517613392,-491.3801338931,-608.1305463481,1545.3275965947,-1429.8731285877,248.6076789092
1880,1562,1290.1984311694,1492.5035928745,-1033.7247049393,1544.5281823376,-1364.3304141825,-642.3262453321,865.9836155606,-1557.6259212037,-880.4726050299,-460.7353093227,-1171.0069318318,-232.9735907029,-760.5567177644,1423.8191579543,-1299.9678371331,116.8139101065
1881,1334.75,1334.1824799363,1334.6081124426,-656.1071646419,1334.7145276393,-1075.2412651136,-672.9853358336,836.5432434876,-1334.7411318804,38.9187966278,19.4614671208,-1162.3600780333,9.7309921716,-790.8310719091,1152.6700743287,-1040.073537917,-4.8655284125
1882,1881.5,1489.6379639792,1780.8419468368,-564.1844265138,1856.1649136019,-1364.1016920722,-1113.2226308143,1305.8269894178,-1875.1555315416,1149.3567706643,607.160778037,-1794.9201048736,307.7240054225,-1295.8660515986,1516.8314422647,-1354.5693499072,-154.3825849279
1883,2381.25,670.9550343523,1906.3136203222,-226.3796566034,2259.3982463139,-1507.3737153378,-1601.7623115202,1799.6209339104,-2350.5896745854,2284.7693328599,1426.9968267219,-2370.4648939767,751.9781426703,-1843.4142358159,1762.0184618481,-1559.3960551225,-380.8933502079
1884,1991,-668.411834345,1147.4478284042,226.723966843,1767.5759709773,-1057.3308239621,-1485.8479764068,1615.4554175689,-1934.3377107186,1875.4483783105,1627.096948891,-1978.0488474401,916.3821183456,-1687.0484666125,1325.2685731609,-1163.7803890113,-471.612787032
1885,1499.75,-1237.4324985592,443.5147532979,476.687404086,1207.1477361447,-630.9836810572,-1217.4074906904,1290.5129418116,-1424.7227589575,847.3552230379,1432.6704876234,-1421.977208427,889.9687666546,-1360.5549076533,875.8818779442,-764.0853417758,-468.4176796498
1886,2235.75,-2234.9003764146,-30.8183868094,1135.6211130172,1569.9802314346,-679.1499196723,-1941.3323988859,2018.1460906903,-2062.6028901524,-61.6309175811,2235.537584013,-1925.8615604891,1591.7726393567,-2130.101746187,1108.966446533,-962.1145561374,-862.6977338761
1887,1664,-1319.0541718165,-535.7190766145,1124.6200639327,968.880657386,-302.8894054896,-1523.1979166189,1560.1592084064,-1480.0529405887,-1014.3924742493,1575.4050498051,-1226.4280296047,1352.8363802557,-1636.2010903438,669.8985794939,-578.6183927467,-760.486221476
1888,1302,-368.8483453551,-779.4111412944,1060.168044722,583.2712465203,-74.7527111064,-1240.0691098137,1256.4030503806,-1107.8409549591,-1248.6612423427,1042.9392469488,-755.8093125586,1164.0440940886,-1299.8523116809,396.7777751916,-341.5484958164,-684.0266212036
1889,2128.75,711.4623017534,-1738.6923157013,1952.3144299371,644.335043068,144.9719249823,-2084.1744055175,2095.9701215698,-1718.0228149578,-2006.3394417904,1228.2204988605,-848.5546117719,2028.8935198217,-2123.807831106,433.3516007651,-372.1368189078,-1256.9702342476
1890,2013.75,1659.7158805424,-1923.2059064154,1973.3388340216,301.938047003,387.7367712233,-2003.621738192,2006.307171364,-1526.9605110566,-1140.408811951,597.0494988097,-401.4011816653,1990.9853033792,-1976.0691432087,201.7151277037,-172.9757111081,-1312.8521090259
1891,1452.5,1452.0099529173,-1452.3774830622,1452.4455476024,-9.4328111427,456.0180540522,-1452.4863868368,1452.4899984882,-1023.7321651231,37.7272663881,-18.8652244571,12.5770127628,1452.4693704426,-1379.0590213542,-6.2885653193,5.3902033127,-1030.4022050114
