Year,Mean_vidarbha,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,1879,1878.0170262965,-1878.7542405024,-956.9910269165,15.1950994746,-1527.2563124099,930.7133985347,-409.6470932562,-1334.0151033464,60.7704610848,-30.3892052288,1617.0371592519,-1878.9385591211,1094.5908624707,1632.303148863,-1833.802131907,1323.2704576328
1872,2512.5,1984.3199648261,-2376.7898688805,-1701.0288031028,412.8993245561,-2209.428933559,1009.6587003053,-325.8654996364,-1917.03753262,1541.1458487737,-814.5711566138,1849.0963363261,-2478.3402506075,1196.2775754617,2300.7054480959,-2491.2783718699,1624.0761523175
1873,1925.75,536.7223561295,-1539.8224150558,-1569.8418807758,609.59004532,-1794.9770430815,585.4015974508,-77.6825906637,-1562.4389735722,1849.4437474362,-1156.4860537818,1115.3965805319,-1826.721938103,697.5460395634,1834.6165899724,-1924.1825478909,1125.7430951876
1874,2219.5,-751.7787758061,-1276.2459122556,-2036.9493512618,1023.1208256479,-2153.1934005005,450.0950815519,109.5199290814,-1896.970864632,2088.3028808694,-1815.8680077172,881.4860125914,-1969.6202746026,538.4593114073,2173.3832307172,-2216.7962547636,1152.2507490721
1875,2621.75,-2167.8936578222,-771.329328207,-2569.966774605,1557.456323027,-2603.0685742801,260.540468238,363.4553427133,-2340.6018646276,1474.3846685564,-2505.7182862301,518.5015331959,-2109.0051835791,312.421286239,2608.7720726254,-2596.4347240694,1181.1672082318
1876,1936.75,-1935.8341210379,29.7811062584,-1936.6482285406,1379.9781012839,-1936.7133620692,-9.9273831925,439.2591114724,-1792.1597515514,-59.5551704358,-1936.521016723,-19.8545055535,-1358.9190566318,-11.9128368778,1936.724556968,-1886.279935611,734.2778679895
1877,1701.5,-1345.4696467881,550.3569959535,-1660.6434757711,1384.1124735033,-1686.7537578263,-186.4368203647,532.8235419545,-1620.2113478904,-1041.5438922925,-1610.0339831833,-370.6285153341,-989.6135158194,-223.5263082027,1691.2550257168,-1615.921199545,519.6320218838
1878,2966.5,-831.3242846062,1779.6065238861,-2697.782998368,2653.2362317657,-2868.8060292926,-631.3275636868,1177.6343317607,-2887.1220559177,-2847.6344891548,-2373.420078735,-1233.7297693243,-1326.8231790431,-755.0325928691,2898.542350446,-2722.737525113,681.6512922555
1879,2540.75,856.7826608777,2077.5323232293,-2040.574518072,2422.1788551576,-2356.7133512342,-797.1263562663,1213.4954627848,-2510.9322460733,-2391.931026288,-1462.6243565719,-1513.758963209,-767.1115669364,-949.3749220485,2412.4676442692,-2232.2274356124,388.1105746166
1880,1962.25,1620.8014542651,1874.9456946978,-1298.6083881352,1940.3011688809,-1713.9291646797,-806.9172054436,1087.8849869615,-1956.755098516,-1106.0866640332,-578.7950452743,-1471.0680870595,-292.6712089352,-955.4432902902,1788.6614229807,-1633.0741923268,146.7465397608
1881,2778.5,2777.3186143496,2778.2046378885,-1365.7941614216,2778.4261584909,-2238.2902079926,-1400.9288298287,1741.4013126281,-2778.4815395614,81.0158280054,40.512220562,-2419.6422377341,20.2566486224,-1646.243965761,2399.4709132963,-2165.0828433059,-10.1283916045
