Year,Mean_westup,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2376.25,2375.0068966137,-2375.9392038285,-1210.2447725973,19.2162613765,-1931.4224653347,1177.0131523513,-518.0542338212,-1687.0427830372,76.8524790595,-38.4312660591,2044.9625064781,-2376.1722996868,1384.2584017807,2064.2684180339,-2319.091173999,1673.4547232304
1872,2056.25,1623.9832547955,-1945.1837484121,-1392.1355129871,337.9200939775,-1808.2142267186,826.312717414,-266.6909188567,-1568.9187766964,1261.2860304641,-666.6515187213,1513.3151608241,-2028.2933891788,979.0430903654,1882.9156527949,-2038.8820506099,1329.156851026
1873,2179.5,607.4445671475,-1742.7199551417,-1776.6949911208,689.9138017784,-2031.4955032564,662.5381184703,-87.918580476,-1768.3166261979,2093.1391133518,-1308.872571319,1262.3688678537,-2067.4233229108,789.4594798018,2076.3582281422,-2177.7260096732,1274.0787100929
1874,2673,-905.3861985716,-1537.0152392247,-2453.1496354687,1232.1702937404,-2593.1452847659,542.0608934392,131.8976212816,-2284.570002776,2514.9959903419,-2186.8957804137,1061.5959052295,-2372.063525124,648.4801709356,2617.4604080681,-2669.7438112112,1387.6847273124
1875,2016.75,-1667.6264077097,-593.3359102361,-1976.9163698616,1198.0547494859,-2002.3795354933,200.417655886,279.5836988336,-1800.4801413131,1134.1528674783,-1927.4939844587,398.8511364824,-1622.3271494166,240.3263579756,2006.7668837484,-1997.2765251328,908.5988241447
1876,1646.25,-1645.471496971,25.3141325303,-1646.1634936026,1172.9902926235,-1646.2188575224,-8.4383397861,373.3730797787,-1523.3473556171,-50.6222792461,-1646.0553627367,-16.8764578637,-1155.0899687518,-10.1259882329,1646.2283732586,-1603.3501195299,624.1409269022
1877,410.75,-324.8026196992,132.8587341099,-400.8870453559,334.1311774854,-407.190188673,-45.0067140551,128.6260769073,-391.1265419606,-251.4335314482,-388.6696788672,-89.4714444158,-238.8972974569,-53.9602886243,408.276815641,-390.090880231,125.4415827145
1878,1739,-487.3328605866,1043.2279605723,-1581.474678632,1555.3607979236,-1681.7305528197,-370.0922411095,690.3442113372,-1692.4676403981,-1669.3195269308,-1391.3290129513,-723.2280697303,-777.8006095924,-442.6097013313,1699.1623621863,-1596.1033393466,399.5926503396
1879,2814.25,949.0113562433,2301.1690802511,-2260.2329381025,2682.9152191783,-2610.4026561885,-882.9333260346,1344.1226433699,-2781.2225026122,-2649.4113512668,-1620.0691116728,-1676.7081224878,-849.6875832926,-1051.5707465807,2672.1586413006,-2472.5164068375,429.88888502
1880,1524.25,1259.0172590973,1456.4331635333,-1008.7419215773,1507.2004365737,-1331.3576400882,-626.8026757026,845.054754173,-1519.9816327751,-859.1935776036,-449.6003810725,-1142.706348172,-227.3431470096,-742.1757855649,1389.4086757438,-1268.5505606595,113.9907826375
