Year,Mean_wmp,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,2945.25,2943.7092318785,-2944.8647827778,-1500.0414167247,23.8176512653,-2393.907213478,1458.8523879906,-642.1038325774,-2091.010102784,95.2550295423,-47.6337449176,2534.6347489551,-2945.1536941199,1715.7231174517,2558.5635173969,-2874.4043262369,2074.1683423858
1872,2327.25,1838.0133883151,-2201.5459591451,-1575.609664486,382.4557027157,-2046.524770398,935.2152080738,-301.8389986185,-1775.6917802149,1427.5150951477,-754.5117310366,1712.759979588,-2295.6088948164,1108.0744228829,2131.0713449079,-2307.5930710186,1504.3308360123
1873,2252.5,627.790267263,-1801.090478989,-1836.2034721265,713.0217198926,-2099.5382523905,684.7291176207,-90.8633184318,-1827.5444829139,2163.2465486694,-1352.7118453296,1304.6505505118,-2136.6694355846,815.9015729542,2145.9036058226,-2250.666591782,1316.7526012775
1874,2722.5,-922.1526096563,-1565.4784843956,-2498.5783324218,1254.988262143,-2641.166493743,552.0990581325,134.3401698239,-2326.8768546793,2561.5699901631,-2227.3938504213,1081.2550886596,-2415.9906274411,660.48906299,2665.9318971064,-2719.1835114188,1413.382592633
1875,2724,-2252.4429575313,-801.4116868641,-2670.1971942496,1618.1981592163,-2704.5899862073,270.7017204083,377.6303436831,-2431.8868996836,1531.8866547717,-2603.4429719427,538.7234390867,-2191.257793485,324.6059249413,2710.5159247951,-2697.6974114103,1227.2335177738
1876,2618.5,-2617.2617250226,40.2642709373,-2618.3624042512,1865.7403682519,-2618.4504652528,-13.4218938374,593.8814939411,-2423.0129389118,-80.5190209299,-2618.1904129543,-26.8434350287,-1837.2683876547,-16.106241572,2618.4656008368,-2550.2641081179,992.7489853262
1877,1247.25,-986.2691842236,403.4280124614,-1217.3009551311,1014.5955231132,-1236.4405668228,-136.6637227152,390.5754702925,-1187.6630053813,-763.4825857548,-1180.2026949899,-271.681701881,-725.4160785224,-163.8514181051,1239.7401297827,-1184.5181993139,380.9056945604
1878,2369.5,-664.0225492582,1421.4655851502,-2154.8615589526,2119.2797071191,-2291.4666733217,-504.2746206492,940.6386479376,-2306.0966497546,-2274.5558476495,-1895.7757884923,-985.4450323323,-1059.8036483205,-603.0843515265,2315.2186412884,-2174.7940555386,544.470836676
1879,2108.5,711.0208562278,1724.0881249745,-1693.417837786,2010.1010001377,-1955.7729414847,-661.5136956361,1007.0472038893,-2083.7550490389,-1984.9991415638,-1213.792563547,-1256.2277964877,-636.6052303002,-787.8606801689,2002.0419277542,-1852.4654326434,322.082513659
1880,2030,1676.7623657323,1939.6813658996,-1343.4450390697,2007.2933483645,-1773.1054678556,-834.7773866992,1125.4460560743,-2024.3153777487,-1144.2761768314,-598.7789231275,-1521.8592007801,-302.776177418,-988.431585827,1850.417983769,-1689.4588408324,151.8132122382
