Year,Mean_asmmeg,Cos 10,Cos 20,Cos 30,Cos 40,Cos 50,Cos 60,Cos 70,Cos 80,Sin 10,Sin 20,Sin 30,Sin 40,Sin 50,Sin 60,Sin 70,Sin 80
1871,3687.25,3685.3210645087,-3686.7677345888,-1877.9484640754,29.8180577635,-2997.0068323221,1826.3826390351,-803.8697416759,-2617.8005267771,119.2527315779,-59.6341655029,3173.1880071589,-3687.129431676,2147.9670876237,3203.1451759686,-3598.5560994541,2596.7158035691
1872,4226.75,3338.1987706781,-3998.4463993196,-2861.6212909512,694.6158089822,-3716.8970129036,1698.537278215,-548.1998012292,-3225.0103048762,2592.6520263898,-1370.343735808,3110.7136077876,-4169.2834444797,2012.4840764509,3870.4504488514,-4191.0490978313,2732.1647270877
1873,3083.75,859.4664757701,-2465.7548344428,-2513.8257301532,976.1512669118,-2874.3401046878,937.4177209601,-124.395009196,-2501.9712759981,2961.5589542549,-1851.9090579513,1786.1114917384,-2925.173972024,1116.9973254595,2937.8158687927,-3081.2400010689,1802.6796156224
1874,3939,-1334.1998638884,-2264.9842975332,-3615.0229757243,1815.7571219765,-3821.3240840601,798.7945601411,194.3676506653,-3366.5997908473,3706.161319101,-3222.6646012156,1564.394414777,-3495.532444992,955.6166828714,3857.1554610476,-3934.2015983392,2044.9271009665
1875,4229.75,-3497.5295886998,-1244.409354814,-4146.2065280387,2512.6922408022,-4199.6106806757,420.3379595804,586.373695372,-3776.1650565113,2378.6701828269,-4042.5524635002,836.5144884277,-3402.5229999975,504.0388806977,4208.8123101697,-4188.908085871,1905.6134257722
1876,3714,-3712.2436687929,57.109605599,-3713.8048384147,2646.3088515133,-3713.9297414355,-19.0372021051,842.3432761112,-3436.7271549048,-114.2057069826,-3713.5608912402,-38.0739040278,-2605.9250684551,-22.84459851,3713.9512092832,-3617.2163061103,1408.0846788244
1877,3763,-2975.6110965993,1217.1574350709,-3672.6426090666,3061.0727227699,-3730.3875349401,-412.3195739244,1178.3808336025,-3583.2238037683,-2303.4555784289,-3560.7157676866,-819.6738778738,-2188.6074992822,-494.3458699776,3740.342440066,-3573.7358059877,1149.2067577718
1878,4873.75,-1365.8070898701,2923.7678394706,-4432.2669436359,4359.0797520876,-4713.2457054659,-1037.226601557,1934.7700402557,-4743.3376436976,-4678.4623601949,-3899.3615738191,-2026.9308826038,-2179.8767803342,-1240.4652282137,4762.1003810842,-4473.2654687408,1119.9049336357
1879,4555.25,1536.1051720804,3724.7580893005,-3658.4973230138,4342.6666259792,-4225.2950873598,-1429.1488081795,2175.6470360525,-4501.790461055,-4288.4360159396,-2622.3042803402,-2713.9822954472,-1375.3360091654,-1702.1116259614,4325.2556278883,-4002.1072620578,695.8341808608
1880,4262.25,3520.581474553,4072.6142373427,-2820.738235357,4214.5744207223,-3722.8663942698,-1752.7240967776,2363.0209125629,-4250.3143935022,-2402.5572092116,-1257.2145148277,-3195.3420583867,-635.7181094581,-2075.3411461533,3885.1941139505,-3547.2393814473,318.7516570751
1881,3865.25,3863.6065409806,3864.839113406,-1899.9949189976,3865.1472769865,-3113.7488668143,-1948.8717507631,2422.5126592174,-3865.2243191613,112.7034116243,56.3576967887,-3366.0328088543,28.1795972963,-2290.1365804058,3337.9719084465,-3011.908029544,-14.0898922618
1882,3271.5,2590.1411635174,3096.4785697989,-980.9882281902,3227.4480546631,-2371.8621767814,-1935.6406254101,2270.5357405689,-3260.4684142643,1998.4696652821,1055.7143158906,-3120.9572804113,535.0619631889,-2253.2159382434,2637.4244291092,-2355.2876046886,-268.4361555098
1883,3332.75,939.0552821996,2668.0385167994,-316.8364516724,3162.2087161795,-2109.6901836397,-2241.7945800395,2518.7135611506,-3289.8384201468,3197.7175828195,1997.1962936514,-3317.6553807458,1052.4536083925,-2580.0057929304,2466.0858913277,-2182.4996126864,-533.0907350783
1884,2783.25,-934.3833440185,1604.0352427956,316.9409747442,2470.9220598808,-1478.0592746321,-2077.0900955973,2258.2703621038,-2704.040900732,2621.7185830903,2274.5442405831,-2765.1453815357,1281.024877391,-2358.3514036662,1852.6136395027,-1626.8667843876,-659.2748817211
1885,3761.75,-3103.7917662644,1112.446489894,1195.6518368533,3027.8299692898,-1582.6656857588,-3053.5640127385,3236.9308610501,-3573.5628194755,2125.3799034924,3593.4977208317,-3566.6762885815,2232.2653828725,-3412.6137181963,2196.9319248918,-1916.5181093017,-1174.9092891633
1886,4542.25,-4540.5238666082,-62.6120172134,2307.1787993302,3189.6422704837,-1379.7914447643,-3944.0979934427,4100.1561357209,-4190.4765639247,-125.212137038,4541.8184461513,-3912.6667441045,3233.916704067,-4327.6102679719,2253.0259831217,-1954.6750945389,-1752.695418405
1887,3722.75,-2951.0269940684,-1198.5265579727,2516.0332590178,2167.6084538965,-677.6331335856,-3407.7434159212,3490.4343107541,-3311.2181998657,-2269.4288362448,3524.5427579098,-2743.8010500064,3026.6055496375,-3660.5574573782,1498.7169091412,-1294.5021764409,-1701.3822602162
1888,3443.75,-975.592541718,-2061.5185236809,2804.1119078428,1542.7345278067,-197.7186243263,-3279.9446980958,3323.1474690845,-2930.2052908145,-3302.6706246679,2758.5422670354,-1999.0924117695,3078.8608671411,-3438.0694303773,1049.4650255884,-903.385278393,-1809.2293984409
1889,4345.25,1452.2520571669,-3549.0559176987,3985.1059432456,1315.2304619571,295.9197919104,-4254.2613437816,4278.3390115096,-3506.8648909902,-4095.3829521737,2507.0699343153,-1732.087810594,4141.4208183231,-4335.1619392193,884.5665499588,-759.6136288241,-2565.7545086856
1890,4032.75,3323.7587671047,-3851.4257574658,3951.8223130481,604.6632695476,776.4844018129,-4012.4670712322,4017.8449387055,-3057.9019247491,-2283.7907567451,1195.6555512476,-803.8488468583,3987.1612574563,-3957.2900495467,403.9561421463,-346.4023831018,-2629.1269237365
1891,3075,3073.9625509265,-3074.7406267927,3074.8847221186,-19.9696346051,965.4082727783,-3074.9711803946,3074.9788264036,-2167.281519968,79.8701164499,-39.9384269918,26.6260339041,3074.9351560145,-2919.5225409048,-13.3131417259,11.4112737946,-2181.4022584579
1892,3744.75,2972.0984196037,-3546.3303652727,3656.1253186061,-609.5210936239,1611.8038736945,-3722.527894412,3728.4192655288,-2422.8751976889,2278.1096432545,-1202.7857260728,809.8766678621,3694.8121195708,-3380.1243816232,-407.3556650213,349.3455924061,-2855.3158037114
1893,3746.25,1067.0095765061,-3002.6383139238,3409.3772994427,-1180.2023722572,2023.3456143483,-3661.06328616,3683.6006004913,-2192.3795206843,3591.08334993,-2240.2125386349,1552.5899305821,3555.4903210413,-3152.8497565532,-794.3580283672,682.2577801389,-3037.7394720062
1894,3575.75,-1189.7038820881,-2065.418166634,2875.2123696751,-1643.2542489156,2293.0278129938,-3396.1028174487,3443.4678515471,-1858.7793954555,3372.0309511398,-2918.9100464794,2125.8273428873,3175.7996687324,-2743.7222001028,-1119.1397213115,963.5959826929,-3054.6566454399
1895,3966,-3265.1627488986,-1178.880939253,2629.4133164846,-2350.9268592326,2904.4674428986,-3616.4491710225,3708.1665751401,-1789.6061125683,2251.1926224126,-3786.7394590949,2969.0640968315,3194.1037714105,-2700.597132699,-1628.0206980905,1406.647308679,-3539.2747790837
1896,2876.25,-2875.3949424869,35.0667875065,1417.831396844,-2046.1763010632,2335.1523263103,-2485.040403864,2587.0487677642,-1092.5885494016,-70.128362456,-2876.0362276776,2502.5123761179,2021.3798770808,-1679.2491403683,-1448.2362561626,1256.9776194148,-2660.651109074
1897,3949.25,-3138.2264813374,1265.4909385449,1190.2164131143,-3208.9184822576,3469.8713716408,-3185.6740049785,3383.2450451269,-1209.081106966,-2397.5216608684,-3741.0036416663,3765.628825635,2302.0464236687,-1885.8865890525,-2334.1072589974,2037.2109677509,-3759.6141343598
