Year,Mean_asmmeg,Mean_chattisgarh,Mean_coastalkar,Mean_gnbwl,Mean_gujarat,Mean_kerala,Mean_kngoa,Mean_marathwada,Mean_mpmah,Mean_nwest,Mean_orissa,Mean_pen,Mean_saurashtra,Mean_shwbl,Mean_southkar,Mean_telangana,Mean_vidarbha,Mean_wmp,Mean_westup
1871,3687.25,2956.25,6066.25,3328.5,1676,5742,3641.5,608.5,970.5,1151.5,2371.5,1551.5,742,4596.5,1023.25,1186,1879,2945.25,2376.25
1872,4226.75,3457.75,8766,2245.5,2282.25,5928.5,5005.25,2704.25,1666,1387.25,3383.5,1853,1167,4812.5,1030.75,1359,2512.5,2327.25,2056.25
1873,3083.75,2420.75,5295.75,2265.75,2092.75,5012,5303.75,1970,1475,1261.5,2200.75,1393.25,796.5,3891.75,1000.5,1313.5,1925.75,2252.5,2179.5
1874,3939,4054.5,8513.75,2365.75,2264.5,5751,7520.5,1983,1812.25,1177.25,2964.25,2039.75,1014.75,5653.25,1577,1767.25,2219.5,2722.5,2673
1875,4229.75,3159.5,6577.25,2834,2541.25,4861.75,6747.5,2531.25,1923.5,1427.5,3301.25,1552.25,607,4425.5,890.75,1276,2621.75,2724,2016.75
1876,3714,2907.25,6363.75,3159,2025.75,4339.5,4222.5,1197,1013.25,1163.75,2539.25,1309,805.75,4650.5,905.75,1138.75,1936.75,2618.5,1646.25
1877,3763,2528.75,5758,2685.5,772,5222.5,4122.25,1116.5,1335,470.5,2334.75,1488.75,605.5,4167.75,1152.25,927.5,1701.5,1247.25,410.75
1878,4873.75,2228.5,10661,2654,3943.25,7312.75,9385.75,2217.75,2353,1820.5,2307,2344,2697.75,6372.75,1425.5,2407.25,2966.5,2369.5,1739
1879,4555.25,3086.5,6511.25,2327.75,2286.75,3942.5,5247.5,1919.25,1501,1324,2695.25,1527.25,868,6249.25,1240.75,1627.5,2540.75,2108.5,2814.25
1880,4262.25,3128.75,5927.5,3344.75,2483.75,4059.5,5544.25,1766.5,1227.75,1240.5,3643.75,1356.5,908.25,4802.25,1178.25,1562,1962.25,2030,1524.25
