Year,ALLIND,CHATT,MPMAH,MARATHAWADA,ASMMEG,COASTALKAR,GNBWL,GUJARAT,KNGOA,KERALA
0,1,1,1,1,1,1,1,1,1,1
1,-0.092,0.012,0.146,0.102,0.014,-0.117,-0.027,-0.014,0.07,0.066
2,0.035,0.173,-0.06,-0.039,-0.006,0.045,-0.08,-0.024,0.002,-0.066
3,0.054,0.153,-0.165,-0.07,0.066,-0.082,0,-0.017,-0.029,0.016
4,-0.067,0.066,-0.033,-0.172,0.142,-0.005,0.069,-0.042,0.052,0.055
5,0.03,0.077,0.082,0.039,0.068,-0.032,-0.007,-0.004,0.179,-0.114
6,0.028,-0.013,-0.014,0.026,0.022,0.108,0.012,-0.073,0.147,-0.081
7,0.016,0.108,-0.049,0.038,-0.089,-0.036,0.007,-0.099,0.018,0.147
8,0.034,0.119,-0.033,0.066,0.035,0.069,-0.166,-0.058,0.044,-0.088
9,-0.054,0.184,-0.005,0.02,0.028,-0.039,0.083,0.007,0.02,-0.057
10,0.007,0.19,-0.019,0.03,0.039,-0.123,0.056,-0.043,-0.049,0.05
11,0.012,0.09,-0.092,-0.051,-0.009,0.014,-0.009,0.007,-0.064,-0.031
12,-0.065,0.043,-0.022,-0.108,-0.087,0.013,-0.087,0.016,0.032,-0.04
13,0.004,0.083,-0.01,-0.104,0.034,0.073,0.135,0.089,-0.091,0.013
14,0.168,0.162,0.131,0.023,0.078,0.183,-0.009,0.194,0.099,0.094
15,-0.096,-0.038,-0.025,-0.013,-0.027,-0.005,-0.006,-0.094,-0.082,-0.024
16,0.014,0.115,-0.014,-0.043,-0.001,0.009,-0.099,-0.013,0.004,-0.067
17,0.07,0.116,0.067,0.079,-0.002,0.05,0.065,0.054,-0.017,-0.006
18,-0.11,-0.046,0.066,-0.018,-0.125,-0.144,0.046,-0.051,0.003,-0.013
19,0.11,0.167,0.041,0.022,0.125,0.103,0.021,0.002,0.038,0.085
20,-0.041,-0.131,-0.072,0.082,-0.051,0.058,0.07,-0.029,0.094,0.07
21,-0.048,0.082,-0.036,-0.007,0.053,0.03,-0.134,0.002,-0.052,-0.107
22,0.058,0.063,-0.083,0.04,-0.17,0.079,0.063,-0.095,0.07,0.021
23,0.046,0.006,0.066,0.03,0.059,-0.023,0.042,-0.059,0.128,0.02
24,-0.025,0.065,-0.01,0.016,0.026,0.047,0.047,0.012,0.071,0.044
25,-0.02,0.029,0.057,0.074,0.133,0.054,-0.069,0.007,0.034,-0.067
26,-0.128,0.041,-0.109,-0.073,-0.072,-0.017,-0.119,-0.115,-0.088,0.037
27,-0.002,-0.007,-0.018,-0.012,0.002,-0.08,-0.089,-0.017,0.043,-0.036
28,0.083,-0.037,-0.087,-0.019,0.022,0.153,0.244,0.017,0.049,-0.069
29,-0.112,-0.072,-0.05,-0.126,0.132,-0.095,0.042,-0.036,0.027,-0.113
30,0.082,-0.055,0.039,-0.036,-0.067,0.092,-0.04,0.052,0.079,0.004
31,-0.108,-0.028,0.103,-0.001,-0.006,-0.059,-0.003,-0.078,-0.099,-0.081
32,-0.084,-0.083,0.101,-0.015,0.105,-0.034,-0.037,-0.014,-0.037,0.002
33,-0.009,0.032,-0.066,-0.072,0.012,0.023,-0.003,0.013,-0.036,-0.052
34,-0.029,0.007,-0.06,-0.042,-0.05,-0.012,0.059,0.021,0.034,0.014
35,0.003,0.023,0.038,-0.009,-0.024,-0.068,-0.058,0.037,-0.034,0.101
36,-0.012,0.013,0.011,-0.048,-0.015,0.127,-0.128,-0.081,0.012,-0.064
37,0.011,-0.113,0.064,-0.046,0.012,0.015,0.036,0.017,-0.085,0.084
38,-0.008,0.062,-0.108,-0.133,0.014,0.067,-0.003,0.044,-0.128,0.072
39,-0.049,-0.154,-0.1,-0.041,0.04,-0.015,-0.125,-0.011,0.046,0.028
40,-0.033,-0.03,-0.051,0.022,0.05,-0.061,-0.028,-0.038,-0.079,-0.119
41,-0.067,-0.012,0.101,0.105,-0.039,-0.105,0.013,-0.136,0.026,-0.081
42,0.028,0.047,0.017,0.028,0.107,0.119,-0.012,-0.028,-0.011,0.033
43,-0.125,-0.067,-0.091,-0.023,-0.021,-0.138,0.052,-0.038,-0.137,-0.145
44,0.051,0.019,-0.081,-0.029,-0.018,0.036,-0.073,0.025,-0.038,0.069
45,-0.025,-0.03,-0.052,0.015,0.061,0.099,0.05,-0.148,-0.031,0.053
46,-0.082,-0.084,0.061,-0.047,0.07,0.001,-0.03,-0.028,-0.069,0.119
47,0.059,-0.037,-0.027,-0.012,-0.074,0.062,-0.003,0.074,0.035,-0.015
48,-0.087,-0.054,0.038,0.025,0.072,-0.017,0.049,0.025,0.036,0.05
49,-0.077,-0.025,0.038,0.002,0.012,-0.038,-0.122,0.117,-0.061,0.036
50,0.031,0.017,0.104,-0.009,0.032,0.022,-0.046,0.016,-0.05,0
51,0.002,0.063,0.051,0.006,-0.115,0.024,0.092,0.142,-0.066,0.124
52,0.081,0.031,0.005,-0.013,0.03,-0.097,0.053,0.052,-0.008,0.046
53,-0.022,0.003,-0.083,-0.019,0.027,0.046,-0.037,0.014,0.035,-0.028
54,0.012,-0.048,-0.047,-0.031,-0.103,-0.044,-0.028,-0.037,-0.029,0.022
55,-0.053,0.032,0.006,0.009,-0.03,-0.037,0.016,-0.208,-0.103,0.02
56,-0.057,-0.066,0,0.035,-0.012,-0.099,0.083,-0.023,0.031,-0.112
57,-0.1,-0.095,-0.082,-0.048,-0.074,-0.064,-0.015,-0.046,0.028,0.019
58,-0.006,0.035,-0.073,-0.045,-0.022,0.01,0.082,-0.09,-0.068,0.057
59,0.012,-0.063,0.013,-0.022,-0.034,0.068,-0.04,-0.039,-0.036,0.024
60,-0.071,-0.02,0.143,0.07,-0.096,-0.08,0.005,0.001,-0.002,-0.043
61,0.192,0.004,0.01,-0.013,0.009,0.16,0.002,0.098,0.07,0.016
62,-0.042,-0.103,-0.016,-0.061,-0.048,-0.119,0.058,0.09,0.056,-0.129
63,0.044,0.027,-0.038,-0.019,-0.046,-0.081,-0.014,0.153,-0.083,-0.106
64,0.119,-0.062,0.053,0.012,-0.029,-0.075,-0.071,0.065,-0.016,0.025
65,-0.079,0.077,-0.042,0.069,-0.04,-0.048,0.072,-0.061,-0.093,0.063
66,0.022,-0.051,0.048,0.096,0.002,0.063,-0.016,-0.005,0.035,-0.04
67,0.115,0.037,0.092,0.057,0.028,0.068,-0.008,0.074,0.058,0.008
68,-0.008,-0.012,-0.047,-0.066,-0.058,-0.028,-0.013,-0.019,0.032,0.057
69,0.023,-0.015,-0.059,-0.051,0.008,-0.067,-0.024,-0.019,0.015,-0.035
70,-0.041,-0.104,-0.164,-0.051,-0.014,-0.058,-0.06,0.049,-0.088,-0.05
71,-0.005,-0.033,-0.058,-0.029,0.072,-0.048,0.124,0.046,0.018,0.047
72,0.034,-0.005,0.065,0.143,-0.038,0.077,-0.017,0.013,-0.026,0.06
73,0.008,-0.103,0.082,0.104,0.027,0.026,0.035,-0.063,0.033,-0.028
74,0.058,0.017,0.062,0.048,-0.045,0.003,0.019,-0.034,-0.008,0.054
75,0.069,-0.005,0.047,0.044,0.029,0.037,0.033,0.068,0.013,-0.063
76,-0.139,0.013,-0.023,-0.048,-0.046,-0.114,-0.007,0.008,0.001,-0.009
77,0.052,0.056,-0.008,-0.049,0.071,-0.098,-0.035,0.028,0.028,-0.014
78,-0.015,-0.108,0.002,-0.08,-0.03,-0.012,0.032,0.013,-0.12,-0.075
79,-0.093,0.016,-0.02,0.02,-0.084,-0.067,-0.049,-0.062,-0.028,-0.045
80,0.091,0.017,0.001,0.029,-0.017,-0.019,0.08,0.055,0.047,-0.139
81,0.075,-0.113,0.107,0.022,-0.003,0.041,-0.029,0.09,0.033,-0.062
82,-0.011,0.003,-0.003,-0.019,-0.009,-0.053,-0.11,-0.086,-0.125,-0.062
83,0.011,-0.045,-0.006,0.018,-0.067,0.054,-0.097,0.001,-0.001,0.066
84,0.019,-0.025,-0.033,-0.055,0.014,-0.077,0.029,0.066,-0.003,-0.011
85,-0.038,-0.04,-0.052,-0.07,0.039,-0.025,0.085,-0.007,-0.01,0.014
86,0.066,0.046,0.005,0.021,0.008,0.072,0.063,0.045,-0.028,0.065
87,-0.05,0.008,-0.061,-0.015,0.002,0.019,-0.026,-0.047,-0.051,-0.006
88,0.01,-0.031,-0.104,0.014,0.028,-0.043,0,-0.043,-0.07,-0.079
89,0.051,0.028,-0.061,0.007,-0.028,0.02,0.011,0.04,0.007,0.008
90,-0.041,-0.06,-0.029,-0.016,0.026,-0.051,0.089,-0.072,-0.047,0.067
91,0.097,-0.043,0.122,0.031,-0.051,-0.006,-0.004,0.034,0.109,0.014
92,-0.054,-0.082,0.062,-0.075,-0.041,0.033,-0.096,-0.001,-0.012,0.01
93,-0.097,0.035,-0.046,-0.066,-0.114,0.013,0.041,-0.126,-0.02,0.008
94,-0.052,-0.09,-0.077,-0.056,0.045,-0.073,-0.005,-0.029,-0.068,-0.053
95,0.009,-0.095,-0.015,0.07,-0.018,0.004,-0.013,0.005,0.047,-0.011
96,0.049,0.075,0.083,0.15,0.043,0.006,-0.052,-0.031,0.098,0.053
97,0.044,-0.061,0.085,0.066,-0.071,0.028,-0.009,0.07,0.071,0.047
98,-0.023,-0.02,0.038,-0.013,0.061,-0.093,-0.021,0.05,-0.048,-0.069
99,0.031,-0.03,-0.053,-0.103,-0.027,0.001,-0.013,-0.018,-0.045,-0.002
100,-0.022,-0.049,-0.05,-0.009,-0.061,-0.041,-0.024,0.034,0.007,0.039
101,0.031,0.06,0.043,0.023,-0.026,-0.022,-0.08,0.013,0.043,-0.018
102,0.028,-0.044,-0.054,-0.072,0.004,-0.074,0.016,-0.02,-0.022,-0.066
103,0.015,0.009,-0.053,-0.016,-0.04,0.075,0.042,-0.007,-0.009,0.083
104,0.005,-0.089,-0.052,-0.037,-0.059,-0.051,-0.023,-0.056,-0.044,0.009
105,0.049,-0.009,-0.009,0.024,-0.023,0.067,-0.095,0.002,0.004,-0.011
106,-0.029,-0.015,-0.012,0.061,-0.058,-0.021,0.001,-0.093,-0.068,0.031
107,-0.049,-0.035,-0.089,0.006,-0.009,-0.03,0.038,-0.089,-0.019,-0.008
108,-0.034,-0.082,-0.048,0.009,0.009,-0.03,0.058,-0.035,-0.043,-0.048
109,0.003,-0.007,0,-0.012,0.029,0.079,0.06,-0.03,0.02,0.083
110,0.036,0.032,0.002,0.015,0.058,0.007,-0.05,0.076,0.029,0.062
111,-0.038,-0.042,0.016,-0.02,-0.016,0.048,-0.072,0.015,-0.055,-0.003
112,-0.062,-0.011,-0.036,-0.107,-0.002,-0.059,-0.036,0.034,-0.107,-0.028
