Year,All_India,asmmeg,chattisgarh,coastkarna,kerala,gujarat,,,Range,All_India,asmmeg,chattisgarh,coastkarna,kerala,gujarat
1867,1473.75,1529.25,950.25,-4732.75,,2193.137,,,1867-1896,2118.466667,3592.466667,2978.191667,5900.525,4183.633333,2028.85
1868,1635.75,2068.75,1451.75,-2033,,2192.828578,,,1897-1926,2071.441667,3822.191667,2928.816667,6826.091667,5059.65,1980.016667
1869,1797.75,2608.25,1953.25,666.75,,2192.519531,,,1927-1956,2174.933333,3942.941667,3218.091667,7208.4,4727.15,2290.233333
1870,1959.75,3147.75,2454.75,3366.5,,2192.210484,,,1957-1986,2099.1,3644.4,2823.925,7396.933333,4844.075,2061.95
1871,2121.75,3687.25,2956.25,6066.25,5742,1676,,,1987-2016,1733.708333,3261.041667,2236.808333,6078.816667,3803.5,1839.208333
1872,2283.75,4226.75,3457.75,8766,5928.5,2282.25,,,,,,,,,
1873,1893,3083.75,2420.75,5295.75,5012,2092.75,,,,,,,,,
1874,2435.75,3939,4054.5,8513.75,5751,2264.5,,,,,,,,,
1875,2324,4229.75,3159.5,6577.25,4861.75,2541.25,,,,,,,,,
1876,1944,3714,2907.25,6363.75,4339.5,2025.75,,,,,,,,,
1877,1509.75,3763,2528.75,5758,5222.5,772,,,,,,,,,
1878,2440,4873.75,2228.5,10661,7312.75,3943.25,,,,,,,,,
1879,2244.25,4555.25,3086.5,6511.25,3942.5,2286.75,,,,,,,,,
1880,2050.25,4262.25,3128.75,5927.5,4059.5,2483.75,,,,,,,,,
1881,2153,3865.25,3132.75,5200.5,3347.75,2825,,,,,,,,,
1882,2257,3271.5,3088.75,7393.75,6631.75,2591.75,,,,,,,,,
1883,2123,3332.75,2486.25,7664.75,4805.75,2297.25,,,,,,,,,
1884,2332,2783.25,4703,5922.75,4240.75,3243.5,,,,,,,,,
1885,2118.5,3761.75,3397.5,6759.75,5932.75,1750.75,,,,,,,,,
1886,2186,4542.25,2007,6952.25,3728.25,2385.25,,,,,,,,,
1887,2248,3722.75,3388.75,7611,4321.5,2262.25,,,,,,,,,
1888,2028.5,3443.75,2969.5,7173.75,5381.5,1415.75,,,,,,,,,
1889,2326.25,4345.25,3247,9707.75,5082,2083.5,,,,,,,,,
1890,2263.75,4032.75,3082.25,6533.75,3656.5,2026.75,,,,,,,,,
1891,1980.75,3075,3188,5065.5,4128.75,2156.5,,,,,,,,,
1892,2478.25,3744.75,3424.75,7613.25,4946.5,3154.25,,,,,,,,,
1893,2387.25,3746.25,3490.25,5751.75,3809,2885,,,,,,,,,
1894,2428.5,3575.75,3766.25,6293,4131.25,3091.25,,,,,,,,,
1895,2058.75,3966,3279.25,6865.25,3852,1763.25,,,,,,,,,
1896,2071,2876.25,3956,6799,5341,2565.25,,,,,,,,,
1897,2227.25,3949.25,3013.75,6163.5,6417,2091.75,,,,,,,,,
1898,2211.25,3647,3294.5,7404.5,3939.5,2110.75,,,,,,,,,
1899,1572.5,4188.25,2061.75,4003.75,2964,527,,,,,,,,,
1900,2223,2972,3128.75,8729,5068.25,1943,,,,,,,,,
1901,1804.75,3763.25,2857.25,7009.75,4612.5,1143.5,,,,,,,,,
1902,1979.25,4514,2564.5,8770.5,5363,2098,,,,,,,,,
1903,2152,4244,2933.75,7597.5,5185,2119.75,,,,,,,,,
